NUMBER,EVEN,ODD
799334405,144, 72
858040035,144, 72
816297511,144, 72
801002252,144, 72
831382451,144, 72
812644188,144, 72
883382719,144, 72
829811479,144, 72
984024321,144, 72
847508420,144, 72
822027960,144, 72
810304504,144, 72
143068843,143, 73
869866277,144, 72
852103203,144, 72
839675038,144, 72
869737721,144, 72
853438037,144, 72
801538778,144, 72
862853136,144, 72
910868709,144, 72
139484163,143, 73
839775036,144, 72
838966520,144, 72
856632133,144, 72
22971825,142, 74
801436083,144, 72
134644609,143, 73
852246984,144, 72
131803064,143, 73
892145369,144, 72
819385944,144, 72
837020092,144, 72
861511703,144, 72
983138242,144, 72
878465461,144, 72
867047605,144, 72
894423472,144, 72
833649515,144, 72
840555069,144, 72
829803804,144, 72
812122643,144, 72
827509645,144, 72
820251741,144, 72
140724825,143, 73
839091735,144, 72
824887356,144, 72
815685111,144, 72
143940094,143, 73
839714823,144, 72
872947953,144, 72
144037889,143, 73
136257685,143, 73
827504908,144, 72
827773299,144, 72
828184595,144, 72
834952936,144, 72
152142215,143, 73
840014833,144, 72
835744493,144, 72
823612742,144, 72
842569717,144, 72
874656898,144, 72
875030745,144, 72
839354478,144, 72
148189512,143, 73
886759332,144, 72
866116316,144, 72
144904005,143, 73
164047419,143, 73
147991247,143, 73
148498082,143, 73
135985136,143, 73
910722401,144, 72
135497987,143, 73
805058599,144, 72
835890607,144, 72
885814417,144, 72
830249834,144, 72
790330028,144, 72
857164233,144, 72
885610641,144, 72
815369022,144, 72
838326318,144, 72
808450277,144, 72
794270914,144, 72
135825518,143, 73
837693756,144, 72
839731722,144, 72
836931704,144, 72
873872494,144, 72
827339673,144, 72
819174961,144, 72
790908238,144, 72
895544709,144, 72
808553174,144, 72
827815187,144, 72
141461432,143, 73
838017646,144, 72
816446658,144, 72
839035907,144, 72
798849119,144, 72
836590228,144, 72
793554953,144, 72
886286769,144, 72
886368077,144, 72
841283913,144, 72
796957286,144, 72
848167688,144, 72
832007804,144, 72
831246950,144, 72
795369757,144, 72
830338991,144, 72
814767707,144, 72
856504077,144, 72
890702850,144, 72
863072435,144, 72
845898923,144, 72
885363588,144, 72
848482221,144, 72
139643560,143, 73
833000476,144, 72
890028226,144, 72
860709809,144, 72
812965278,144, 72
887840778,144, 72
848185635,144, 72
862117733,144, 72
890342676,144, 72
836577165,144, 72
859407542,144, 72
824555007,144, 72
823670321,144, 72
814985538,144, 72
852228436,144, 72
858089326,144, 72
