k_value,n
29,21
34,17
47,16
21,15
26,15
31,15
37,15
28,14
24,13
50,13
39,12
42,12
55,12
16,11
23,11
18,10
20,10
33,10
36,10
44,10
122,10
15,9
25,9
27,8
52,8
117,8
17,7
30,7
46,7
96,7
130,7
41,6
49,6
54,6
60,6
91,6
99,6
106,6
113,6
114,6
119,6
121,6
124,6
127,6
135,6
12,5
13,5
19,5
22,5
32,5
35,5
57,5
70,5
86,5
108,5
132,5
148,5
10,4
14,4
38,4
62,4
65,4
101,4
109,4
110,4
111,4
120,4
143,4
43,3
48,3
53,3
73,3
88,3
93,3
98,3
104,3
112,3
116,3
118,3
134,3
6,2
8,2
11,2
40,2
67,2
68,2
69,2
72,2
75,2
82,2
83,2
85,2
87,2
90,2
94,2
97,2
102,2
103,2
105,2
107,2
123,2
128,2
129,2
145,2
153,2
0,1
3,1
4,1
5,1
7,1
45,1
51,1
56,1
59,1
61,1
64,1
66,1
71,1
74,1
79,1
80,1
84,1
89,1
95,1
100,1
115,1
131,1
140,1
142,1
144,1
171,1
174,1
