V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
29,158,38,60,20,58,118,93,23,66
115,40,18,162,102,94,60,21,58,54
47,111,40,88,61,98,166,156,21,124
32,82,115,65,75,18,117,42,137,106
37,129,94,172,135,122,63,53,135,150
31,141,40,76,63,92,51,138,177,161
16,62,35,128,61,45,115,139,43,45
53,97,44,88,63,135,177,27,105,74
15,74,148,76,49,93,43,127,139,53
41,159,153,35,70,164,115,35,87,42
44,139,48,35,94,77,50,72,48,93
50,120,159,106,42,71,99,34,137,133
159,53,66,31,66,66,115,55,28,93
36,25,26,102,174,74,92,185,110,128
44,32,140,35,96,132,184,68,15,31
46,84,151,115,45,32,179,49,176,76
38,7,119,89,104,66,24,45,79,177
159,39,32,135,133,73,63,120,110,142
55,58,66,86,118,83,42,43,129,108
29,34,98,39,107,63,48,109,84,32
36,141,141,123,37,15,128,151,51,102
72,55,119,51,71,154,122,151,99,110
130,4,53,58,51,113,63,61,63,123
16,127,78,22,142,62,146,117,184,73
53,146,144,76,137,43,63,29,53,30
154,19,167,68,35,108,39,53,88,19
132,158,156,163,154,51,128,161,29,130
114,73,107,60,141,23,81,68,71,195
195,66,114,141,146,92,165,58,138,112
27,129,109,36,29,138,92,129,143,132
50,136,84,50,50,136,38,48,152,157
36,74,58,99,55,39,148,22,113,39
79,260,116,46,76,137,48,118,100,66
129,76,62,79,28,29,154,60,63,58
81,70,112,70,66,185,159,60,60,92
29,143,52,66,63,104,90,130,31,102
60,145,121,75,67,138,51,12,95,64
117,141,38,59,102,34,68,110,133,53
48,58,117,123,84,30,187,116,137,66
138,27,74,130,65,124,61,43,30,107
27,135,53,45,89,29,140,72,79,50
57,41,128,134,47,102,76,149,128,111
42,42,143,22,36,133,91,116,34,71
130,89,17,45,27,129,52,107,153,48
32,31,68,52,88,115,98,126,169,74
130,57,144,53,48,16,52,55,143,96
128,63,47,72,46,80,14,63,123,125
102,165,30,61,177,97,42,86,198,112
97,58,75,136,110,25,47,103,146,195
120,123,136,45,187,92,37,146,112,36
102,117,161,40,53,105,28,25,34,33
84,112,122,53,40,133,24,22,107,60
130,35,92,135,42,64,55,62,42,53
44,109,141,98,135,146,68,35,131,20
131,40,118,27,123,87,35,35,133,151
18,63,120,117,102,104,43,55,73,112
108,79,31,39,156,53,134,117,106,71
84,31,190,61,126,135,130,148,27,55
23,154,141,47,44,62,92,71,28,118
45,124,29,121,42,41,53,133,60,154
140,58,59,105,77,68,31,30,37,133
103,115,47,148,47,34,61,42,138,71
73,40,133,58,133,84,28,104,109,141
48,76,47,97,116,135,71,99,118,146
105,122,40,123,55,177,40,65,154,132
35,33,153,141,40,150,118,37,25,44
30,107,61,117,156,120,36,150,76,36
22,146,83,46,18,33,141,145,37,110
179,161,87,101,26,63,103,49,32,115
99,91,18,110,48,79,58,97,123,28
66,53,74,85,144,26,84,23,75,154
109,49,154,70,68,71,42,52,24,57
141,44,30,39,72,29,110,54,180,93
32,94,28,134,58,67,67,242,135,117
115,104,141,85,60,128,28,31,34,112
53,115,126,167,185,151,98,143,14,61
79,53,81,154,106,21,76,44,130,40
50,45,46,99,45,52,100,68,40,180
42,32,57,156,136,42,52,114,26,92
39,73,92,39,92,47,119,96,55,138
61,81,38,48,75,143,60,105,78,16
71,133,153,67,89,123,48,190,171,110
27,154,110,27,119,66,66,39,74,32
130,55,53,31,120,92,112,71,26,58
40,22,105,182,125,185,140,153,57,91
18,67,50,148,48,66,34,159,37,115
44,143,65,34,35,65,143,65,22,34
60,40,154,132,158,174,97,148,49,135
76,133,55,66,22,59,185,61,57,94
154,60,65,49,23,66,154,64,40,50
66,66,46,66,19,76,116,66,83,74
135,21,132,48,179,120,81,29,110,101
27,58,54,53,94,57,140,44,11,62
38,72,49,45,156,65,98,138,40,146
32,47,172,78,140,131,34,40,138,61
70,99,27,41,60,38,34,76,74,58
137,65,151,137,98,63,125,94,86,133
37,51,48,103,37,36,85,47,28,144
167,40,81,48,45,94,115,16,21,43
44,174,128,135,35,68,47,135,181,63
