z_value,k_value
8,4
10,7
170,11
340,12
213,14
1280,14
2688,15
68,15
384,15
832,16
5376,16
908,16
22,16
5440,16
1704,17
3413,18
565,18
602,18
90,18
544,18
3616,18
1210,19
184,19
1130,19
362,20
403,20
19,21
704,21
4512,21
4549,21
4820,21
1506,22
38,22
8704,22
241,22
8960,22
9101,22
245,22
36,22
535,23
534,23
482,23
2984,23
5972,24
964,24
6448,24
288,25
2147,25
326,25
298,25
616,26
4297,26
662,26
3754,26
3584,26
8584,27
1251,27
7733,27
7957,27
8036,27
8561,27
7882,27
1237,27
1236,27
1425,27
8586,27
394,28
2627,28
2679,28
66,28
2648,28
2695,28
404,28
475,28
2602,28
788,29
5000,29
883,29
5706,29
800,29
5233,29
868,29
5356,29
4944,29
5204,29
5709,29
264,30
1766,30
1764,30
1620,30
1911,30
1785,30
1750,30
3468,31
529,31
3500,31
532,31
3157,31
3501,31
3821,31
577,31
3482,31
3429,31
1177,32
1077,32
6873,32
6480,32
6597,32
6304,32
1050,32
174,32
1110,32
6400,32
1156,32
2316,33
59,33
2353,33
4373,34
4234,34
114,34
761,34
4398,34
4202,34
4237,34
5067,34
717,34
4442,34
4791,34
4761,34
230,35
8744,35
8419,35
1539,35
1415,35
238,35
39,35
8464,35
8792,35
9144,35
8404,35
8797,35
9136,35
3377,36
78,36
3077,36
3388,36
2836,36
2830,36
513,36
472,36
2840,36
5712,37
6274,37
945,37
5924,37
5602,37
158,37
5696,37
5736,37
5836,37
1834,38
1896,38
1898,38
2055,38
2028,38
1953,38
2029,38
3781,39
3780,39
611,39
4146,39
3884,39
3949,39
3792,39
629,39
1264,40
8116,40
7770,40
8238,40
7544,40
7768,40
9054,40
7781,40
7896,40
7636,40
7450,40
8294,40
8237,40
9050,40
7336,40
1369,40
1248,40
8515,40
2458,41
3011,41
2763,41
2481,41
5077,42
5476,42
837,42
5040,42
5121,42
5091,42
5491,42
4912,42
5526,42
5501,42
5474,42
5060,42
863,42
9792,43
1655,43
1654,43
303,43
1634,43
1724,43
9928,43
3310,44
3256,44
3651,44
3270,44
3606,44
3368,44
574,44
575,44
541,44
3318,44
556,44
6724,45
6513,45
6707,45
6769,45
1213,45
6733,45
6517,45
6549,45
7307,45
7521,45
8015,45
6774,45
2234,46
2674,46
2165,46
2300,46
2681,46
371,46
4848,47
721,47
749,47
4410,47
4408,47
4340,47
4499,47
4485,47
4468,47
4412,47
1469,48
9623,48
1470,48
8823,48
1618,48
8724,48
8720,48
1500,48
8822,48
8998,48
9200,48
1787,48
9359,48
8914,48
9217,48
2998,49
3575,49
3243,49
2909,49
3056,49
2994,49
3064,49
6486,50
984,50
999,50
6489,50
5809,50
998,50
5983,50
5770,50
5899,50
1937,51
339,51
1985,51
1939,51
2158,51
359,51
1992,51
3987,52
4765,52
3914,52
3961,52
3993,52
3875,52
4345,52
7986,53
1357,53
8815,53
1436,53
7965,53
9497,53
7746,53
7969,53
7775,53
7951,53
7980,53
7710,53
1314,53
7941,53
7774,53
7842,53
7921,53
8162,53
7971,53
8149,53
478,54
3177,54
3169,54
6353,55
5329,55
5424,55
956,55
5316,55
5793,55
5322,55
5163,55
5269,55
6337,55
5271,55
5143,55
3416,57
3447,57
3509,57
3543,57
3829,57
3455,57
3542,57
6849,58
1139,58
7087,58
7016,58
7258,58
7236,58
7051,58
7012,58
7083,58
1180,58
7615,58
7071,58
7200,58
7024,58
2338,59
2295,59
2351,59
4557,60
4729,60
4720,60
4571,60
4567,60
5145,60
5623,60
4718,60
4730,60
4636,60
5223,60
5633,60
5111,60
4677,60
1602,61
1702,61
9445,61
9446,61
9370,61
9274,61
9191,61
9108,61
9405,61
9202,61
1558,61
1574,61
567,62
505,62
3150,62
3146,62
3403,62
3070,62
1039,63
6127,63
6215,63
6433,63
6812,63
6180,63
6813,63
6302,63
6095,63
6073,63
6117,63
6140,63
6081,63
6315,63
2039,64
2031,64
4203,65
4059,65
4045,65
4078,65
4083,65
699,65
8402,66
9082,66
8310,66
8326,66
8251,66
9059,66
1363,66
8395,66
8176,66
8386,66
8286,66
9066,66
8390,66
9080,66
8389,66
8154,66
1387,66
8394,66
8407,66
8546,66
8423,66
2726,67
502,67
3337,67
2798,67
2771,67
5615,68
5542,68
6051,68
5551,68
5423,68
5417,68
1005,68
6032,68
5592,68
6674,68
4027,70
3729,70
4026,70
3621,70
8070,71
7181,71
8071,71
7463,71
8040,71
7586,71
7198,71
