V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
788,4214,1834,4557,362,6849,1793,3312,535,8402
1348,1264,3413,1839,7379,1098,4729,19,1139,478
4848,3129,8116,3756,1602,2922,4851,6202,704,3096
1177,1913,8132,4203,3196,565,5566,5077,3291,3471
5712,2744,1096,8607,830,4587,1039,7986,5211,3439
3468,8781,7770,6436,6127,9083,1937,6718,7805,5611
832,567,230,8260,1702,6724,1349,2174,9792,6513
1357,8295,3310,3757,6215,4649,7630,8584,9547,297
2688,9951,5240,6510,2998,91,1655,4164,2177,8815
2458,8337,763,8744,4027,7286,8095,8419,1775,5476
3256,2201,1469,1539,5985,2190,6486,2441,9623,3055
984,7109,8338,3321,837,8070,5917,4373,3265,6974
8263,1436,9082,529,8310,8326,8349,6353,394,3312
3377,288,616,7928,5502,9596,1656,8892,9393,1382
3651,1077,4344,1415,4422,3674,4447,5615,68,3500
2234,7557,6986,7769,6707,6873,5078,3575,3823,7138
1896,10,599,7550,860,8251,5972,6769,9488,7580
8191,3781,6480,4932,7404,5403,6433,7194,9394,2983
5329,7087,9059,5055,1796,3919,5040,1654,2806,2095
5000,4234,2933,3780,6880,6812,1470,125,1404,6597
78,1474,8773,9568,6274,384,8393,7117,339,8798
2677,5424,3524,1985,7181,9426,4739,6934,5604,9393
5516,8,8815,7016,1939,333,1039,9445,6180,1571
5376,4116,4494,1506,2907,505,7954,5381,4646,4844
7965,8017,1965,6635,3262,303,6813,883,9497,264
9241,1210,9835,5542,238,2280,611,7746,3367,184
3718,4215,6313,3563,9379,2158,8420,5518,5706,5653
4010,4798,6940,4720,8688,534,6346,6051,8071,7403
7143,1363,4114,8723,7809,8987,2375,7258,1107,6085
1251,462,125,3077,800,1087,9342,2776,5938,3704
999,9912,8460,6489,5809,9908,1898,8823,2371,2066
3388,1609,7236,5824,956,4146,5387,38,2087,3884
8809,9257,2743,2674,7170,3375,1618,9971,1981,8395
2887,7335,3150,1585,2627,5233,9447,4571,6302,7051
6328,3729,27,3729,8176,9087,8101,4567,5145,1652
868,6175,3987,8386,6095,5282,412,5555,532,1311
5623,3930,2415,3579,2726,6590,359,340,2014,2039
5382,8619,2055,2338,7162,114,5551,8604,7365,7969
9623,7012,5290,1544,7993,1766,6017,2700,3359,8286
6690,7733,1657,5758,4059,515,9446,1634,1764,6279
7957,5012,7775,1213,6735,5356,4363,2680,8988,998
3416,3011,8285,2556,721,1303,6561,9919,8500,3042
5121,5091,5779,8704,2836,7432,5021,2691,761,7463
5530,1119,1704,6733,8036,2753,4765,6362,4687,8724
6304,3157,5423,3914,3746,1322,2920,2069,6481,1776
5556,3447,1934,7951,8720,908,3961,5316,5970,4404
