original_number,capture_iteration,capture_state,capture_number
126,1,EVEN,126
126,2,ODD,63
126,3,EVEN,190
126,4,ODD,95
126,5,EVEN,286
126,6,ODD,143
126,7,EVEN,430
126,8,ODD,215
126,9,EVEN,646
126,10,ODD,323
126,11,EVEN,970
126,12,ODD,485
126,13,EVEN,1456
126,14,EVEN,728
126,15,EVEN,364
126,16,EVEN,182
126,17,ODD,91
126,18,EVEN,274
126,19,ODD,137
126,20,EVEN,412
126,21,EVEN,206
126,22,ODD,103
126,23,EVEN,310
126,24,ODD,155
126,25,EVEN,466
126,26,ODD,233
126,27,EVEN,700
126,28,EVEN,350
126,29,ODD,175
126,30,EVEN,526
126,31,ODD,263
126,32,EVEN,790
126,33,ODD,395
126,34,EVEN,1186
126,35,ODD,593
126,36,EVEN,1780
126,37,EVEN,890
126,38,ODD,445
126,39,EVEN,1336
126,40,EVEN,668
126,41,EVEN,334
126,42,ODD,167
126,43,EVEN,502
126,44,ODD,251
126,45,EVEN,754
126,46,ODD,377
126,47,EVEN,1132
126,48,EVEN,566
126,49,ODD,283
126,50,EVEN,850
126,51,ODD,425
126,52,EVEN,1276
126,53,EVEN,638
126,54,ODD,319
126,55,EVEN,958
126,56,ODD,479
126,57,EVEN,1438
126,58,ODD,719
126,59,EVEN,2158
126,60,ODD,1079
126,61,EVEN,3238
126,62,ODD,1619
126,63,EVEN,4858
126,64,ODD,2429
126,65,EVEN,7288
126,66,EVEN,3644
126,67,EVEN,1822
126,68,ODD,911
126,69,EVEN,2734
126,70,ODD,1367
126,71,EVEN,4102
126,72,ODD,2051
126,73,EVEN,6154
126,74,ODD,3077
126,75,EVEN,9232
126,76,EVEN,4616
126,77,EVEN,2308
126,78,EVEN,1154
126,79,ODD,577
126,80,EVEN,1732
126,81,EVEN,866
126,82,ODD,433
126,83,EVEN,1300
126,84,EVEN,650
126,85,ODD,325
126,86,EVEN,976
126,87,EVEN,488
126,88,EVEN,244
126,89,EVEN,122
126,90,ODD,61
126,91,EVEN,184
126,92,EVEN,92
126,93,EVEN,46
126,94,ODD,23
126,95,EVEN,70
126,96,ODD,35
126,97,EVEN,106
126,98,ODD,53
126,99,EVEN,160
126,100,EVEN,80
126,101,EVEN,40
126,102,EVEN,20
126,103,EVEN,10
126,104,ODD,5
126,105,EVEN,16
126,106,EVEN,8
126,107,EVEN,4
126,108,EVEN,2
126,109,END,1
920,1,EVEN,920
920,2,EVEN,460
920,3,EVEN,230
920,4,ODD,115
920,5,EVEN,346
920,6,ODD,173
