original_number,capture_iteration,capture_state,capture_number
920,1,EVEN,920
920,2,EVEN,460
920,3,EVEN,230
920,4,ODD,115
920,5,EVEN,346
920,6,ODD,173
920,7,EVEN,520
920,8,EVEN,260
920,9,EVEN,130
920,10,ODD,65
920,11,EVEN,196
920,12,EVEN,98
920,13,ODD,49
920,14,EVEN,148
920,15,EVEN,74
920,16,ODD,37
920,17,EVEN,112
920,18,EVEN,56
920,19,EVEN,28
920,20,EVEN,14
920,21,ODD,7
920,22,EVEN,22
920,23,ODD,11
920,24,EVEN,34
920,25,ODD,17
920,26,EVEN,52
920,27,EVEN,26
920,28,ODD,13
920,29,EVEN,40
920,30,EVEN,20
920,31,EVEN,10
920,32,ODD,5
920,33,EVEN,16
920,34,EVEN,8
920,35,EVEN,4
920,36,EVEN,2
920,37,END,1
717,1,ODD,717
717,2,EVEN,2152
717,3,EVEN,1076
717,4,EVEN,538
717,5,ODD,269
717,6,EVEN,808
717,7,EVEN,404
717,8,EVEN,202
717,9,ODD,101
717,10,EVEN,304
717,11,EVEN,152
717,12,EVEN,76
717,13,EVEN,38
717,14,ODD,19
717,15,EVEN,58
717,16,ODD,29
717,17,EVEN,88
717,18,EVEN,44
717,19,EVEN,22
717,20,ODD,11
717,21,EVEN,34
717,22,ODD,17
717,23,EVEN,52
717,24,EVEN,26
717,25,ODD,13
717,26,EVEN,40
717,27,EVEN,20
717,28,EVEN,10
717,29,ODD,5
717,30,EVEN,16
717,31,EVEN,8
717,32,EVEN,4
717,33,EVEN,2
717,34,END,1
727,1,ODD,727
727,2,EVEN,2182
727,3,ODD,1091
727,4,EVEN,3274
727,5,ODD,1637
727,6,EVEN,4912
727,7,EVEN,2456
727,8,EVEN,1228
727,9,EVEN,614
727,10,ODD,307
727,11,EVEN,922
727,12,ODD,461
727,13,EVEN,1384
727,14,EVEN,692
727,15,EVEN,346
727,16,ODD,173
727,17,EVEN,520
727,18,EVEN,260
727,19,EVEN,130
727,20,ODD,65
727,21,EVEN,196
727,22,EVEN,98
727,23,ODD,49
727,24,EVEN,148
727,25,EVEN,74
727,26,ODD,37
727,27,EVEN,112
727,28,EVEN,56
727,29,EVEN,28
727,30,EVEN,14
727,31,ODD,7
727,32,EVEN,22
727,33,ODD,11
727,34,EVEN,34
727,35,ODD,17
727,36,EVEN,52
727,37,EVEN,26
727,38,ODD,13
727,39,EVEN,40
727,40,EVEN,20
727,41,EVEN,10
727,42,ODD,5
727,43,EVEN,16
727,44,EVEN,8
727,45,EVEN,4
727,46,EVEN,2
727,47,END,1
747,1,ODD,747
747,2,EVEN,2242
747,3,ODD,1121
747,4,EVEN,3364
747,5,EVEN,1682
747,6,ODD,841
747,7,EVEN,2524
747,8,EVEN,1262
747,9,ODD,631
747,10,EVEN,1894
747,11,ODD,947
747,12,EVEN,2842
747,13,ODD,1421
