z_value,k_value
1,0
2,2
8,4
5,6
21,8
3,8
13,10
34,14
144,24
89,31
4181,34
987,37
610,39
377,64
17711,80
233,84
2584,103
514229,103
28657,104
14930352,113
55,113
75025,113
9227465,120
1597,123
63245986,128
3524578,129
196418,130
832040,132
2178309,136
6765,138
46368,146
10946,162
121393,181
1346269,187
1134903170,189
267914296,192
1836311903,200
4807526976,204
12586269025,226
39088169,241
102334155,245
5702887,246
317811,247
2971215073,273
24157817,274
7778742049,277
433494437,291
165580141,300
701408733,364
