original_number,capture_iteration,capture_state,capture_number
39,1,ODD,39
39,2,EVEN,118
39,3,ODD,59
39,4,EVEN,178
39,5,ODD,89
39,6,EVEN,268
39,7,EVEN,134
39,8,ODD,67
39,9,EVEN,202
39,10,ODD,101
39,11,EVEN,304
39,12,EVEN,152
39,13,EVEN,76
39,14,EVEN,38
39,15,ODD,19
39,16,EVEN,58
39,17,ODD,29
39,18,EVEN,88
39,19,EVEN,44
39,20,EVEN,22
39,21,ODD,11
39,22,EVEN,34
39,23,ODD,17
39,24,EVEN,52
39,25,EVEN,26
39,26,ODD,13
39,27,EVEN,40
39,28,EVEN,20
39,29,EVEN,10
39,30,ODD,5
39,31,EVEN,16
39,32,EVEN,8
39,33,EVEN,4
39,34,EVEN,2
39,35,END,1
153,1,ODD,153
153,2,EVEN,460
153,3,EVEN,230
153,4,ODD,115
153,5,EVEN,346
153,6,ODD,173
153,7,EVEN,520
153,8,EVEN,260
153,9,EVEN,130
153,10,ODD,65
153,11,EVEN,196
153,12,EVEN,98
153,13,ODD,49
153,14,EVEN,148
153,15,EVEN,74
153,16,ODD,37
153,17,EVEN,112
153,18,EVEN,56
153,19,EVEN,28
153,20,EVEN,14
153,21,ODD,7
153,22,EVEN,22
153,23,ODD,11
153,24,EVEN,34
153,25,ODD,17
153,26,EVEN,52
153,27,EVEN,26
153,28,ODD,13
153,29,EVEN,40
153,30,EVEN,20
153,31,EVEN,10
153,32,ODD,5
153,33,EVEN,16
153,34,EVEN,8
153,35,EVEN,4
153,36,EVEN,2
153,37,END,1
156,1,EVEN,156
156,2,EVEN,78
156,3,ODD,39
156,4,EVEN,118
156,5,ODD,59
156,6,EVEN,178
156,7,ODD,89
156,8,EVEN,268
156,9,EVEN,134
156,10,ODD,67
156,11,EVEN,202
156,12,ODD,101
156,13,EVEN,304
156,14,EVEN,152
156,15,EVEN,76
156,16,EVEN,38
156,17,ODD,19
156,18,EVEN,58
156,19,ODD,29
156,20,EVEN,88
156,21,EVEN,44
156,22,EVEN,22
156,23,ODD,11
156,24,EVEN,34
156,25,ODD,17
156,26,EVEN,52
156,27,EVEN,26
156,28,ODD,13
156,29,EVEN,40
156,30,EVEN,20
156,31,EVEN,10
156,32,ODD,5
156,33,EVEN,16
156,34,EVEN,8
156,35,EVEN,4
156,36,EVEN,2
156,37,END,1
157,1,ODD,157
157,2,EVEN,472
157,3,EVEN,236
157,4,EVEN,118
157,5,ODD,59
157,6,EVEN,178
157,7,ODD,89
157,8,EVEN,268
157,9,EVEN,134
157,10,ODD,67
157,11,EVEN,202
157,12,ODD,101
157,13,EVEN,304
157,14,EVEN,152
157,15,EVEN,76
157,16,EVEN,38
157,17,ODD,19
157,18,EVEN,58
157,19,ODD,29
157,20,EVEN,88
157,21,EVEN,44
157,22,EVEN,22
157,23,ODD,11
157,24,EVEN,34
157,25,ODD,17
157,26,EVEN,52
157,27,EVEN,26
157,28,ODD,13
157,29,EVEN,40
157,30,EVEN,20
157,31,EVEN,10
157,32,ODD,5
157,33,EVEN,16
157,34,EVEN,8
157,35,EVEN,4
157,36,EVEN,2
157,37,END,1
158,1,EVEN,158
158,2,ODD,79
158,3,EVEN,238
158,4,ODD,119
158,5,EVEN,358
158,6,ODD,179
158,7,EVEN,538
158,8,ODD,269
158,9,EVEN,808
158,10,EVEN,404
158,11,EVEN,202
158,12,ODD,101
158,13,EVEN,304
158,14,EVEN,152
158,15,EVEN,76
158,16,EVEN,38
158,17,ODD,19
158,18,EVEN,58
158,19,ODD,29
158,20,EVEN,88
158,21,EVEN,44
158,22,EVEN,22
158,23,ODD,11
158,24,EVEN,34
158,25,ODD,17
158,26,EVEN,52
158,27,EVEN,26
158,28,ODD,13
158,29,EVEN,40
158,30,EVEN,20
158,31,EVEN,10
158,32,ODD,5
158,33,EVEN,16
158,34,EVEN,8
158,35,EVEN,4
158,36,EVEN,2
158,37,END,1
169,1,ODD,169
169,2,EVEN,508
169,3,EVEN,254
169,4,ODD,127
169,5,EVEN,382
169,6,ODD,191
169,7,EVEN,574
169,8,ODD,287
169,9,EVEN,862
169,10,ODD,431
169,11,EVEN,1294
169,12,ODD,647
169,13,EVEN,1942
169,14,ODD,971
169,15,EVEN,2914
169,16,ODD,1457
169,17,EVEN,4372
169,18,EVEN,2186
169,19,ODD,1093
169,20,EVEN,3280
169,21,EVEN,1640
169,22,EVEN,820
169,23,EVEN,410
169,24,ODD,205
169,25,EVEN,616
169,26,EVEN,308
169,27,EVEN,154
169,28,ODD,77
169,29,EVEN,232
169,30,EVEN,116
169,31,EVEN,58
169,32,ODD,29
169,33,EVEN,88
169,34,EVEN,44
169,35,EVEN,22
169,36,ODD,11
169,37,EVEN,34
169,38,ODD,17
169,39,EVEN,52
169,40,EVEN,26
169,41,ODD,13
169,42,EVEN,40
169,43,EVEN,20
169,44,EVEN,10
169,45,ODD,5
169,46,EVEN,16
169,47,EVEN,8
169,48,EVEN,4
169,49,EVEN,2
169,50,END,1
185,1,ODD,185
185,2,EVEN,556
185,3,EVEN,278
185,4,ODD,139
185,5,EVEN,418
185,6,ODD,209
185,7,EVEN,628
185,8,EVEN,314
185,9,ODD,157
185,10,EVEN,472
185,11,EVEN,236
185,12,EVEN,118
185,13,ODD,59
185,14,EVEN,178
185,15,ODD,89
185,16,EVEN,268
185,17,EVEN,134
185,18,ODD,67
185,19,EVEN,202
185,20,ODD,101
185,21,EVEN,304
185,22,EVEN,152
185,23,EVEN,76
185,24,EVEN,38
185,25,ODD,19
185,26,EVEN,58
185,27,ODD,29
185,28,EVEN,88
185,29,EVEN,44
185,30,EVEN,22
185,31,ODD,11
185,32,EVEN,34
185,33,ODD,17
185,34,EVEN,52
185,35,EVEN,26
185,36,ODD,13
185,37,EVEN,40
185,38,EVEN,20
185,39,EVEN,10
185,40,ODD,5
185,41,EVEN,16
185,42,EVEN,8
185,43,EVEN,4
185,44,EVEN,2
185,45,END,1
187,1,ODD,187
187,2,EVEN,562
187,3,ODD,281
187,4,EVEN,844
187,5,EVEN,422
187,6,ODD,211
187,7,EVEN,634
187,8,ODD,317
187,9,EVEN,952
187,10,EVEN,476
187,11,EVEN,238
187,12,ODD,119
187,13,EVEN,358
187,14,ODD,179
187,15,EVEN,538
187,16,ODD,269
187,17,EVEN,808
187,18,EVEN,404
187,19,EVEN,202
187,20,ODD,101
187,21,EVEN,304
187,22,EVEN,152
187,23,EVEN,76
187,24,EVEN,38
187,25,ODD,19
187,26,EVEN,58
187,27,ODD,29
187,28,EVEN,88
187,29,EVEN,44
187,30,EVEN,22
187,31,ODD,11
187,32,EVEN,34
187,33,ODD,17
187,34,EVEN,52
187,35,EVEN,26
187,36,ODD,13
187,37,EVEN,40
187,38,EVEN,20
187,39,EVEN,10
187,40,ODD,5
187,41,EVEN,16
187,42,EVEN,8
187,43,EVEN,4
187,44,EVEN,2
187,45,END,1
191,1,ODD,191
191,2,EVEN,574
191,3,ODD,287
191,4,EVEN,862
191,5,ODD,431
191,6,EVEN,1294
191,7,ODD,647
191,8,EVEN,1942
191,9,ODD,971
191,10,EVEN,2914
191,11,ODD,1457
191,12,EVEN,4372
191,13,EVEN,2186
191,14,ODD,1093
191,15,EVEN,3280
191,16,EVEN,1640
191,17,EVEN,820
191,18,EVEN,410
191,19,ODD,205
191,20,EVEN,616
191,21,EVEN,308
191,22,EVEN,154
191,23,ODD,77
191,24,EVEN,232
191,25,EVEN,116
191,26,EVEN,58
191,27,ODD,29
191,28,EVEN,88
191,29,EVEN,44
191,30,EVEN,22
191,31,ODD,11
191,32,EVEN,34
191,33,ODD,17
191,34,EVEN,52
191,35,EVEN,26
191,36,ODD,13
191,37,EVEN,40
191,38,EVEN,20
191,39,EVEN,10
191,40,ODD,5
191,41,EVEN,16
191,42,EVEN,8
191,43,EVEN,4
191,44,EVEN,2
191,45,END,1
203,1,ODD,203
203,2,EVEN,610
203,3,ODD,305
203,4,EVEN,916
203,5,EVEN,458
203,6,ODD,229
203,7,EVEN,688
203,8,EVEN,344
203,9,EVEN,172
203,10,EVEN,86
203,11,ODD,43
203,12,EVEN,130
203,13,ODD,65
203,14,EVEN,196
203,15,EVEN,98
203,16,ODD,49
203,17,EVEN,148
203,18,EVEN,74
203,19,ODD,37
203,20,EVEN,112
203,21,EVEN,56
203,22,EVEN,28
203,23,EVEN,14
203,24,ODD,7
203,25,EVEN,22
203,26,ODD,11
203,27,EVEN,34
203,28,ODD,17
203,29,EVEN,52
203,30,EVEN,26
203,31,ODD,13
203,32,EVEN,40
203,33,EVEN,20
203,34,EVEN,10
203,35,ODD,5
203,36,EVEN,16
203,37,EVEN,8
203,38,EVEN,4
203,39,EVEN,2
203,40,END,1
209,1,ODD,209
209,2,EVEN,628
209,3,EVEN,314
209,4,ODD,157
209,5,EVEN,472
209,6,EVEN,236
209,7,EVEN,118
209,8,ODD,59
209,9,EVEN,178
209,10,ODD,89
209,11,EVEN,268
209,12,EVEN,134
209,13,ODD,67
209,14,EVEN,202
209,15,ODD,101
209,16,EVEN,304
209,17,EVEN,152
209,18,EVEN,76
209,19,EVEN,38
209,20,ODD,19
209,21,EVEN,58
209,22,ODD,29
209,23,EVEN,88
209,24,EVEN,44
209,25,EVEN,22
209,26,ODD,11
209,27,EVEN,34
209,28,ODD,17
209,29,EVEN,52
209,30,EVEN,26
209,31,ODD,13
209,32,EVEN,40
209,33,EVEN,20
209,34,EVEN,10
209,35,ODD,5
209,36,EVEN,16
209,37,EVEN,8
209,38,EVEN,4
209,39,EVEN,2
209,40,END,1
210,1,EVEN,210
210,2,ODD,105
210,3,EVEN,316
210,4,EVEN,158
210,5,ODD,79
210,6,EVEN,238
210,7,ODD,119
210,8,EVEN,358
210,9,ODD,179
210,10,EVEN,538
210,11,ODD,269
210,12,EVEN,808
210,13,EVEN,404
210,14,EVEN,202
210,15,ODD,101
210,16,EVEN,304
210,17,EVEN,152
210,18,EVEN,76
210,19,EVEN,38
210,20,ODD,19
210,21,EVEN,58
210,22,ODD,29
210,23,EVEN,88
210,24,EVEN,44
210,25,EVEN,22
210,26,ODD,11
210,27,EVEN,34
210,28,ODD,17
210,29,EVEN,52
210,30,EVEN,26
210,31,ODD,13
210,32,EVEN,40
210,33,EVEN,20
210,34,EVEN,10
210,35,ODD,5
210,36,EVEN,16
210,37,EVEN,8
210,38,EVEN,4
210,39,EVEN,2
210,40,END,1
211,1,ODD,211
211,2,EVEN,634
211,3,ODD,317
211,4,EVEN,952
211,5,EVEN,476
211,6,EVEN,238
211,7,ODD,119
211,8,EVEN,358
211,9,ODD,179
211,10,EVEN,538
211,11,ODD,269
211,12,EVEN,808
211,13,EVEN,404
211,14,EVEN,202
211,15,ODD,101
211,16,EVEN,304
211,17,EVEN,152
211,18,EVEN,76
211,19,EVEN,38
211,20,ODD,19
211,21,EVEN,58
211,22,ODD,29
211,23,EVEN,88
211,24,EVEN,44
211,25,EVEN,22
211,26,ODD,11
211,27,EVEN,34
211,28,ODD,17
211,29,EVEN,52
211,30,EVEN,26
211,31,ODD,13
211,32,EVEN,40
211,33,EVEN,20
211,34,EVEN,10
211,35,ODD,5
211,36,EVEN,16
211,37,EVEN,8
211,38,EVEN,4
211,39,EVEN,2
211,40,END,1
219,1,ODD,219
219,2,EVEN,658
219,3,ODD,329
219,4,EVEN,988
219,5,EVEN,494
219,6,ODD,247
219,7,EVEN,742
219,8,ODD,371
219,9,EVEN,1114
219,10,ODD,557
219,11,EVEN,1672
219,12,EVEN,836
219,13,EVEN,418
219,14,ODD,209
219,15,EVEN,628
219,16,EVEN,314
219,17,ODD,157
219,18,EVEN,472
219,19,EVEN,236
219,20,EVEN,118
219,21,ODD,59
219,22,EVEN,178
219,23,ODD,89
219,24,EVEN,268
219,25,EVEN,134
219,26,ODD,67
219,27,EVEN,202
219,28,ODD,101
219,29,EVEN,304
219,30,EVEN,152
219,31,EVEN,76
219,32,EVEN,38
219,33,ODD,19
219,34,EVEN,58
219,35,ODD,29
219,36,EVEN,88
219,37,EVEN,44
219,38,EVEN,22
219,39,ODD,11
219,40,EVEN,34
219,41,ODD,17
219,42,EVEN,52
219,43,EVEN,26
219,44,ODD,13
219,45,EVEN,40
219,46,EVEN,20
219,47,EVEN,10
219,48,ODD,5
219,49,EVEN,16
219,50,EVEN,8
219,51,EVEN,4
219,52,EVEN,2
219,53,END,1
225,1,ODD,225
225,2,EVEN,676
225,3,EVEN,338
225,4,ODD,169
225,5,EVEN,508
225,6,EVEN,254
225,7,ODD,127
225,8,EVEN,382
225,9,ODD,191
225,10,EVEN,574
225,11,ODD,287
225,12,EVEN,862
225,13,ODD,431
225,14,EVEN,1294
225,15,ODD,647
225,16,EVEN,1942
225,17,ODD,971
225,18,EVEN,2914
225,19,ODD,1457
225,20,EVEN,4372
225,21,EVEN,2186
225,22,ODD,1093
225,23,EVEN,3280
225,24,EVEN,1640
225,25,EVEN,820
225,26,EVEN,410
225,27,ODD,205
225,28,EVEN,616
225,29,EVEN,308
225,30,EVEN,154
225,31,ODD,77
225,32,EVEN,232
225,33,EVEN,116
225,34,EVEN,58
225,35,ODD,29
225,36,EVEN,88
225,37,EVEN,44
225,38,EVEN,22
225,39,ODD,11
225,40,EVEN,34
225,41,ODD,17
225,42,EVEN,52
225,43,EVEN,26
225,44,ODD,13
225,45,EVEN,40
225,46,EVEN,20
225,47,EVEN,10
225,48,ODD,5
225,49,EVEN,16
225,50,EVEN,8
225,51,EVEN,4
225,52,EVEN,2
225,53,END,1
228,1,EVEN,228
228,2,EVEN,114
228,3,ODD,57
228,4,EVEN,172
228,5,EVEN,86
228,6,ODD,43
228,7,EVEN,130
228,8,ODD,65
228,9,EVEN,196
228,10,EVEN,98
228,11,ODD,49
228,12,EVEN,148
228,13,EVEN,74
228,14,ODD,37
228,15,EVEN,112
228,16,EVEN,56
228,17,EVEN,28
228,18,EVEN,14
228,19,ODD,7
228,20,EVEN,22
228,21,ODD,11
228,22,EVEN,34
228,23,ODD,17
228,24,EVEN,52
228,25,EVEN,26
228,26,ODD,13
228,27,EVEN,40
228,28,EVEN,20
228,29,EVEN,10
228,30,ODD,5
228,31,EVEN,16
228,32,EVEN,8
228,33,EVEN,4
228,34,EVEN,2
228,35,END,1
229,1,ODD,229
229,2,EVEN,688
229,3,EVEN,344
229,4,EVEN,172
229,5,EVEN,86
229,6,ODD,43
229,7,EVEN,130
229,8,ODD,65
229,9,EVEN,196
229,10,EVEN,98
229,11,ODD,49
229,12,EVEN,148
229,13,EVEN,74
229,14,ODD,37
229,15,EVEN,112
229,16,EVEN,56
229,17,EVEN,28
229,18,EVEN,14
229,19,ODD,7
229,20,EVEN,22
229,21,ODD,11
229,22,EVEN,34
229,23,ODD,17
229,24,EVEN,52
229,25,EVEN,26
229,26,ODD,13
229,27,EVEN,40
229,28,EVEN,20
229,29,EVEN,10
229,30,ODD,5
229,31,EVEN,16
229,32,EVEN,8
229,33,EVEN,4
229,34,EVEN,2
229,35,END,1
230,1,EVEN,230
230,2,ODD,115
230,3,EVEN,346
230,4,ODD,173
230,5,EVEN,520
230,6,EVEN,260
230,7,EVEN,130
230,8,ODD,65
230,9,EVEN,196
230,10,EVEN,98
230,11,ODD,49
230,12,EVEN,148
230,13,EVEN,74
230,14,ODD,37
230,15,EVEN,112
230,16,EVEN,56
230,17,EVEN,28
230,18,EVEN,14
230,19,ODD,7
230,20,EVEN,22
230,21,ODD,11
230,22,EVEN,34
230,23,ODD,17
230,24,EVEN,52
230,25,EVEN,26
230,26,ODD,13
230,27,EVEN,40
230,28,EVEN,20
230,29,EVEN,10
230,30,ODD,5
230,31,EVEN,16
230,32,EVEN,8
230,33,EVEN,4
230,34,EVEN,2
230,35,END,1
236,1,EVEN,236
236,2,EVEN,118
236,3,ODD,59
236,4,EVEN,178
236,5,ODD,89
236,6,EVEN,268
236,7,EVEN,134
236,8,ODD,67
236,9,EVEN,202
236,10,ODD,101
236,11,EVEN,304
236,12,EVEN,152
236,13,EVEN,76
236,14,EVEN,38
236,15,ODD,19
236,16,EVEN,58
236,17,ODD,29
236,18,EVEN,88
236,19,EVEN,44
236,20,EVEN,22
236,21,ODD,11
236,22,EVEN,34
236,23,ODD,17
236,24,EVEN,52
236,25,EVEN,26
236,26,ODD,13
236,27,EVEN,40
236,28,EVEN,20
236,29,EVEN,10
236,30,ODD,5
236,31,EVEN,16
236,32,EVEN,8
236,33,EVEN,4
236,34,EVEN,2
236,35,END,1
237,1,ODD,237
237,2,EVEN,712
237,3,EVEN,356
237,4,EVEN,178
237,5,ODD,89
237,6,EVEN,268
237,7,EVEN,134
237,8,ODD,67
237,9,EVEN,202
237,10,ODD,101
237,11,EVEN,304
237,12,EVEN,152
237,13,EVEN,76
237,14,EVEN,38
237,15,ODD,19
237,16,EVEN,58
237,17,ODD,29
237,18,EVEN,88
237,19,EVEN,44
237,20,EVEN,22
237,21,ODD,11
237,22,EVEN,34
237,23,ODD,17
237,24,EVEN,52
237,25,EVEN,26
237,26,ODD,13
237,27,EVEN,40
237,28,EVEN,20
237,29,EVEN,10
237,30,ODD,5
237,31,EVEN,16
237,32,EVEN,8
237,33,EVEN,4
237,34,EVEN,2
237,35,END,1
238,1,EVEN,238
238,2,ODD,119
238,3,EVEN,358
238,4,ODD,179
238,5,EVEN,538
238,6,ODD,269
238,7,EVEN,808
238,8,EVEN,404
238,9,EVEN,202
238,10,ODD,101
238,11,EVEN,304
238,12,EVEN,152
238,13,EVEN,76
238,14,EVEN,38
238,15,ODD,19
238,16,EVEN,58
238,17,ODD,29
238,18,EVEN,88
238,19,EVEN,44
238,20,EVEN,22
238,21,ODD,11
238,22,EVEN,34
238,23,ODD,17
238,24,EVEN,52
238,25,EVEN,26
238,26,ODD,13
238,27,EVEN,40
238,28,EVEN,20
