k_value,n
53,190
48,184
40,175
45,160
61,153
58,149
35,142
50,142
66,142
37,138
42,127
32,125
55,123
71,122
128,121
63,118
123,115
133,113
141,113
79,111
47,108
39,107
34,105
74,102
136,100
76,95
27,94
60,94
154,94
138,93
29,92
52,92
97,91
44,87
68,86
146,86
110,84
130,84
125,83
36,82
84,82
31,81
120,80
43,78
102,77
49,76
92,76
135,75
65,73
115,72
143,72
159,70
57,69
89,69
73,68
33,66
41,66
151,66
24,65
94,65
26,64
122,64
127,63
81,62
107,62
28,61
30,61
38,60
22,59
54,59
132,59
99,58
117,57
62,56
105,56
167,56
46,55
112,54
70,53
78,53
104,52
156,52
140,51
86,49
148,48
51,47
137,47
172,47
23,46
91,46
21,44
59,44
119,44
124,44
25,43
96,43
75,42
129,42
164,42
109,41
67,40
134,39
153,39
177,39
145,38
185,37
19,36
101,36
114,35
121,35
169,35
83,34
142,34
106,33
161,33
20,32
56,32
126,32
150,32
174,31
64,30
98,30
72,29
88,29
116,29
131,29
158,29
182,29
18,28
93,27
118,27
103,26
111,25
77,24
139,24
16,23
80,23
179,23
17,22
108,22
155,22
166,22
69,21
147,21
95,20
85,19
90,19
113,19
171,19
190,19
15,17
100,17
82,15
144,15
149,15
152,15
163,15
176,15
14,14
87,13
184,13
160,12
187,12
198,12
157,11
173,11
180,11
195,11
13,10
168,10
178,10
181,10
203,9
12,8
10,6
11,6
165,6
170,6
175,6
192,6
200,6
8,4
9,4
162,4
189,4
183,3
205,3
208,3
211,3
6,2
7,2
197,2
202,2
210,2
216,2
218,2
239,2
242,2
0,1
2,1
3,1
4,1
5,1
186,1
191,1
194,1
199,1
207,1
209,1
213,1
215,1
217,1
221,1
226,1
229,1
234,1
236,1
238,1
244,1
247,1
252,1
257,1
260,1
262,1
