z_value,k_value
1,0
2,2
4,3
8,4
16,5
5,6
32,6
10,7
64,7
3,8
20,8
21,8
128,8
6,9
40,9
42,9
256,9
12,10
512,10
13,10
80,10
84,10
85,10
24,11
1024,11
26,11
160,11
168,11
170,11
320,12
336,12
340,12
341,12
48,12
2048,12
52,12
53,12
104,13
106,13
113,13
17,13
640,13
672,13
680,13
682,13
96,13
4096,13
208,14
212,14
213,14
226,14
227,14
34,14
35,14
1344,14
1360,14
1364,14
1365,14
1280,14
192,14
8192,14
11,15
416,15
2720,15
424,15
426,15
2728,15
2730,15
452,15
453,15
454,15
2560,15
68,15
69,15
70,15
75,15
384,15
2688,15
904,16
906,16
908,16
909,16
5120,16
22,16
23,16
832,16
136,16
138,16
140,16
5440,16
141,16
848,16
150,16
151,16
852,16
853,16
5456,16
5460,16
5461,16
768,16
5376,16
301,17
302,17
1704,17
1706,17
7,17
1808,17
1812,17
1813,17
1816,17
1818,17
1536,17
44,17
45,17
46,17
1664,17
272,17
276,17
277,17
280,17
282,17
1696,17
300,17
602,18
604,18
605,18
3408,18
3412,18
3413,18
14,18
15,18
3616,18
3624,18
3626,18
3328,18
3632,18
3636,18
3637,18
544,18
552,18
554,18
560,18
564,18
565,18
3072,18
88,18
90,18
92,18
3392,18
93,18
600,18
201,19
1104,19
1204,19
1205,19
1108,19
1208,19
1109,19
1210,19
6816,19
1120,19
6824,19
6826,19
28,19
1128,19
29,19
30,19
1130,19
7232,19
1137,19
6144,19
7248,19
7252,19
7253,19
6656,19
7264,19
7272,19
7274,19
176,19
180,19
181,19
7281,19
184,19
6784,19
186,19
1088,19
1200,19
401,20
402,20
403,20
2208,20
2408,20
9,20
2410,20
2216,20
2416,20
2417,20
2218,20
2420,20
2421,20
2240,20
352,20
56,20
2256,20
58,20
60,20
360,20
2260,20
61,20
2261,20
362,20
368,20
369,20
372,20
373,20
2274,20
2275,20
2176,20
2400,20
802,21
803,21
704,21
804,21
805,21
806,21
112,21
4512,21
116,21
4416,21
4816,21
117,21
18,21
19,21
120,21
720,21
4520,21
4820,21
4821,21
122,21
4522,21
724,21
725,21
4432,21
4832,21
4834,21
4835,21
736,21
4436,21
4437,21
738,21
739,21
4840,21
4842,21
744,21
746,21
4548,21
4549,21
4849,21
4550,21
4352,21
753,21
4480,21
4800,21
9101,22
1604,22
8704,22
1605,22
1506,22
1606,22
1507,22
1408,22
1608,22
1610,22
1611,22
1612,22
1613,22
224,22
9024,22
232,22
8832,22
9632,22
234,22
36,22
37,22
38,22
240,22
1440,22
9040,22
9640,22
241,22
9642,22
244,22
9044,22
245,22
9045,22
1448,22
1450,22
8960,22
8864,22
9664,22
267,22
9668,22
9669,22
9670,22
1472,22
8872,22
8874,22
1476,22
1477,22
1478,22
9680,22
9684,22
9685,22
1488,22
1492,22
1493,22
9096,22
9098,22
9698,22
9699,22
9100,22
9600,22
2901,23
3208,23
3210,23
3012,23
3212,23
3013,23
3213,23
3014,23
2816,23
3216,23
3220,23
3221,23
3222,23
3223,23
3224,23
3226,23
3033,23
534,23
535,23
537,23
2944,23
448,23
2952,23
2954,23
2956,23
2957,23
464,23
468,23
469,23
72,23
74,23
76,23
2976,23
77,23
480,23
2880,23
81,23
482,23
483,23
2984,23
2986,23
488,23
490,23
2896,23
497,23
2900,23
5802,24
5904,24
5908,24
5909,24
5912,24
5914,24
6416,24
6420,24
6421,24
6024,24
6424,24
25,24
6026,24
6426,24
928,24
6028,24
6029,24
5632,24
6432,24
936,24
938,24
6440,24
6442,24
144,24
6444,24
6445,24
6446,24
148,24
6448,24
149,24
152,24
5952,24
6452,24
6453,24
154,24
960,24
5760,24
162,24
163,24
964,24
965,24
6065,24
6465,24
966,24
6066,24
6067,24
1068,24
5968,24
1069,24
1070,24
5972,24
1073,24
5973,24
1074,24
1075,24
976,24
980,24
981,24
985,24
5888,24
5792,24
994,24
995,24
896,24
5800,24
304,25
308,25
309,25
2009,25
1920,25
321,25
324,25
325,25
326,25
1928,25
1930,25
331,25
1932,25
1933,25
2136,25
2138,25
2140,25
2141,25
2146,25
2147,25
2148,25
49,25
2149,25
50,25
2150,25
51,25
1952,25
1856,25
1960,25
1962,25
1969,25
1970,25
1971,25
1872,25
1876,25
1877,25
288,25
1988,25
1989,25
1990,25
1792,25
296,25
298,25
101,26
4301,26
102,26
3904,26
608,26
3712,26
713,26
715,26
616,26
4017,26
618,26
4018,26
4019,26
3920,26
3924,26
625,26
3925,26
3938,26
3939,26
3840,26
3940,26
3941,26
642,26
3942,26
643,26
4043,26
3744,26
648,26
650,26
652,26
3752,26
653,26
3754,26
3856,26
3860,26
3861,26
662,26
663,26
3864,26
3866,26
4272,26
576,26
3976,26
4276,26
4277,26
3978,26
3980,26
4280,26
3981,26
4282,26
3584,26
592,26
4292,26
4293,26
4294,26
596,26
4296,26
597,26
4297,26
98,26
4298,26
99,26
100,26
4300,26
1301,27
202,27
8602,27
204,27
1304,27
7504,27
205,27
1306,27
7508,27
7808,27
7509,27
7712,27
1313,27
1216,27
217,27
7720,27
7722,27
1324,27
7424,27
1325,27
1425,27
1326,27
1426,27
1427,27
7728,27
1430,27
1431,27
1232,27
7732,27
33,27
1433,27
7733,27
8034,27
8035,27
1236,27
8036,27
1237,27
8037,27
8038,27
1339,27
7840,27
8544,27
7848,27
1250,27
7850,27
1251,27
1152,27
7952,27
8552,27
8554,27
7956,27
7957,27
7960,27
8560,27
8561,27
7962,27
8564,27
8565,27
7168,27
7876,27
7877,27
7878,27
7680,27
7880,27
7882,27
1184,27
1284,27
7884,27
8584,27
1285,27
7885,27
1286,27
8086,27
8586,27
8087,27
7488,27
8588,27
8089,27
8589,27
1192,27
8592,27
8593,27
1194,27
8594,27
8595,27
196,27
1296,27
8596,27
197,27
8597,27
198,27
200,27
1300,27
8600,27
2501,28
2502,28
2602,28
404,28
2304,28
405,28
408,28
2608,28
410,28
2612,28
2613,28
2625,28
2626,28
2627,28
2432,28
433,28
434,28
435,28
441,28
2648,28
2650,28
2850,28
2851,28
2652,28
2852,28
2653,28
2853,28
2854,28
2860,28
2861,28
2862,28
2464,28
65,28
2865,28
66,28
2866,28
67,28
2867,28
2368,28
2568,28
2570,28
2472,28
2572,28
2573,28
2474,28
475,28
2577,28
2678,28
2679,28
2384,28
2388,28
2389,28
392,28
2592,28
394,28
2695,28
396,28
397,28
400,28
2500,28
2600,28
5301,29
5701,29
5002,29
5702,29
5004,29
5204,29
5304,29
5704,29
5005,29
5205,29
5306,29
5706,29
5707,29
808,29
4608,29
5708,29
5709,29
810,29
816,29
5216,29
820,29
5720,29
821,29
5722,29
5224,29
5724,29
5725,29
5226,29
4928,29
5729,29
130,29
5730,29
131,29
5731,29
132,29
5732,29
133,29
833,29
5233,29
5733,29
134,29
5734,29
4736,29
5136,29
5140,29
5141,29
4944,29
5144,29
5146,29
4948,29
4949,29
950,29
5250,29
951,29
5251,29
5252,29
953,29
5253,29
5154,29
5254,29
955,29
5155,29
5356,29
857,29
5357,29
5358,29
4864,29
866,29
867,29
868,29
4768,29
869,29
870,29
875,29
4776,29
4778,29
882,29
883,29
784,29
5184,29
788,29
789,29
5390,29
5391,29
792,29
794,29
5296,29
800,29
5000,29
5200,29
5300,29
5700,29
1901,30
1902,30
1906,30
1907,30
1910,30
1911,30
1713,30
1714,30
1715,30
1616,30
9216,30
1620,30
1621,30
9728,30
1632,30
1732,30
1733,30
1734,30
1736,30
9536,30
1738,30
1640,30
1740,30
1741,30
1642,30
43,30
1649,30
1750,30
1751,30
9552,30
9556,30
9856,30
9557,30
260,30
261,30
262,30
264,30
1764,30
1765,30
266,30
1666,30
1766,30
1667,30
268,30
1568,30
269,30
9472,30
273,30
1576,30
1578,30
1584,30
1785,30
1588,30
9888,30
289,30
1589,30
9896,30
9898,30
1600,30
1900,30
10000,30
3501,31
3801,31
3502,31
3802,31
3804,31
3805,31
3812,31
3813,31
3814,31
3819,31
520,31
3820,31
3821,31
522,31
3822,31
524,31
525,31
3426,31
3427,31
528,31
3428,31
3528,31
529,31
3429,31
3430,31
3530,31
532,31
3232,31
3332,31
3532,31
533,31
633,31
3333,31
3533,31
3334,31
635,31
536,31
3136,31
3537,31
538,31
3240,31
3242,31
546,31
547,31
3152,31
555,31
3156,31
3157,31
3264,31
3464,31
3466,31
3168,31
3468,31
3469,31
3570,31
571,31
3571,31
3472,31
3176,31
3476,31
577,31
3477,31
578,31
3178,31
579,31
3280,31
3480,31
3482,31
583,31
3284,31
3185,31
3285,31
86,31
87,31
89,31
3593,31
3298,31
3299,31
3200,31
3500,31
3800,31
7001,32
7601,32
7002,32
7602,32
7603,32
6304,32
7004,32
7604,32
7005,32
7605,32
7608,32
7609,32
1110,32
7610,32
1111,32
6312,32
6314,32
7624,32
7626,32
6528,32
6928,32
7628,32
7629,32
6932,32
6933,32
7633,32
6336,32
6936,32
6938,32
7638,32
7639,32
1040,32
7140,32
7640,32
7141,32
7641,32
1142,32
7142,32
7642,32
1143,32
1044,32
6944,32
7644,32
1045,32
7645,32
1048,32
1050,32
6352,32
6852,32
6952,32
6853,32
1154,32
6854,32
6954,32
1155,32
1056,32
1156,32
6356,32
6856,32
7056,32
1157,32
6357,32
1058,32
1158,32
6858,32
1059,32
6560,32
6860,32
6960,32
7060,32
6861,32
7061,32
1064,32
6464,32
6664,32
6964,32
7064,32
6965,32
1066,32
1166,32
1266,32
6666,32
7066,32
1167,32
1267,32
6568,32
6668,32
6669,32
1270,32
6370,32
6570,32
1271,32
6371,32
172,32
1072,32
6272,32
173,32
1273,32
6673,32
6873,32
174,32
7074,32
7075,32
1076,32
177,32
1077,32
1177,32
6977,32
178,32
179,32
6480,32
6484,32
6485,32
7186,32
7187,32
1092,32
1093,32
1094,32
6596,32
6597,32
6598,32
1099,32
6400,32
7000,32
7600,32
2101,33
2308,33
2309,33
2310,33
2112,33
2312,33
2314,33
2116,33
2316,33
2117,33
2317,33
2118,33
2220,33
2221,33
2321,33
2222,33
423,33
2123,33
2128,33
2132,33
2332,33
2532,33
2133,33
2333,33
2533,33
2334,33
2534,33
2540,33
2541,33
2542,33
344,33
2144,33
346,33
2546,33
2547,33
348,33
349,33
2152,33
2353,33
354,33
2154,33
2354,33
355,33
2355,33
356,33
57,33
357,33
358,33
59,33
2161,33
2080,33
2184,33
2284,33
385,33
2285,33
2186,33
2286,33
2088,33
2188,33
2189,33
2090,33
2395,33
2096,33
2198,33
2199,33
2100,33
4202,34
4304,34
705,34
4706,34
4707,34
708,34
4308,34
4708,34
709,34
4209,34
4309,34
4709,34
710,34
4710,34
712,34
114,34
714,34
115,34
716,34
4616,34
717,34
118,34
4618,34
119,34
4620,34
4621,34
4322,34
4323,34
4224,34
4624,34
4625,34
4628,34
729,34
4629,34
4232,34
4632,34
4234,34
4634,34
4236,34
4237,34
4440,34
4442,34
4642,34
4643,34
4444,34
4445,34
846,34
4246,34
847,34
4247,34
4651,34
4256,34
4160,34
761,34
4761,34
4264,34
4664,34
5064,34
4266,34
4666,34
5066,34
4667,34
5067,34
4368,34
4568,34
4668,34
5068,34
769,34
4569,34
4669,34
5069,34
770,34
4570,34
771,34
4372,34
4572,34
4373,34
4573,34
5073,34
4176,34
4376,34
777,34
4378,34
4180,34
5080,34
4181,34
5082,34
5084,34
5085,34
688,34
4288,34
4790,34
4791,34
692,34
4192,34
5092,34
693,34
5093,34
5094,34
696,34
4396,34
4397,34
698,34
4398,34
4200,34
9302,35
9303,35
8404,35
8405,35
8608,35
1410,35
1411,35
8512,35
9412,35
9413,35
9414,35
1415,35
1416,35
8616,35
9416,35
1418,35
8418,35
8618,35
9418,35
8419,35
1420,35
8320,35
9420,35
1421,35
9421,35
9521,35
1522,35
9522,35
1523,35
9523,35
1424,35
228,35
1428,35
8528,35
9328,35
229,35
1429,35
230,35
1432,35
8532,35
9232,35
9332,35
8533,35
9333,35
9433,35
1434,35
9334,35
9335,35
236,35
8736,35
9136,35
9236,35
9336,35
237,35
9137,35
9237,35
238,35
1538,35
9138,35
9338,35
39,35
1539,35
9139,35
1540,35
9140,35
9240,35
1541,35
9141,35
1542,35
9242,35
8644,35
8744,35
9144,35
8645,35
8646,35
8746,35
9146,35
1547,35
8448,35
9248,35
9250,35
9251,35
8352,35
8752,35
1554,35
1555,35
8756,35
9256,35
1457,35
8757,35
1458,35
9258,35
1459,35
8360,35
8362,35
9163,35
8464,35
9264,35
1465,35
8468,35
9268,35
1569,35
8469,35
9269,35
8472,35
8474,35
1376,35
8576,35
8880,35
9580,35
1481,35
9581,35
9582,35
1384,35
8384,35
8884,35
9284,35
8885,35
9285,35
1386,35
9286,35
8888,35
1689,35
8890,35
9291,35
1392,35
1692,35
8492,35
8792,35
1393,35
1693,35
8493,35
1694,35
8494,35
8794,35
1396,35
8796,35
1397,35
1697,35
8797,35
8897,35
8400,35
2801,36
507,36
3108,36
3109,36
3110,36
3111,36
513,36
2914,36
2915,36
2916,36
2917,36
2918,36
2820,36
2821,36
2822,36
2830,36
2930,36
2831,36
2931,36
2832,36
2836,36
2837,36
3137,36
3138,36
3139,36
2840,36
2842,36
3044,36
3045,36
3046,36
2848,36
2752,36
456,36
2856,36
458,36
2858,36
460,36
461,36
2961,36
2962,36
2963,36
2864,36
465,36
2768,36
2868,36
2869,36
472,36
2772,36
473,36
2773,36
474,36
476,36
3076,36
477,36
3077,36
3377,36
78,36
3078,36
3378,36
79,36
3379,36
3080,36
2881,36
3082,36
3083,36
2784,36
3084,36
3384,36
3085,36
2786,36
3386,36
2787,36
3388,36
3089,36
3389,36
2792,36
3193,36
2794,36
3094,36
3394,36
3095,36
3395,36
6201,37
5602,37
5603,37
5504,37
912,37
5712,37
1014,37
1015,37
916,37
5716,37
6216,37
917,37
5717,37
6218,37
920,37
6220,37
6221,37
922,37
5922,37
6222,37
5923,37
6223,37
5924,37
1025,37
5925,37
6225,37
1026,37
5926,37
1027,37
5728,37
5828,37
1129,37
5829,37
930,37
5830,37
931,37
1031,37
1131,37
5931,37
5832,37
5834,37
5536,37
5736,37
5836,37
5837,37
5738,37
5640,37
5642,37
943,37
944,37
5544,37
5644,37
945,37
5645,37
5745,37
946,37
5546,37
947,37
6347,37
948,37
949,37
5649,37
952,37
6152,37
153,37
954,37
6154,37
6754,37
6755,37
156,37
6156,37
6756,37
157,37
6157,37
6757,37
158,37
6758,37
5660,37
5860,37
6160,37
5661,37
5861,37
6161,37
5662,37
5762,37
5862,37
5763,37
6763,37
5664,37
6164,37
6165,37
6166,37
6167,37
5568,37
6168,37
6768,37
6170,37
971,37
5572,37
5672,37
6772,37
5573,37
6773,37
5574,37
5674,37
6274,37
6275,37
6276,37
6776,37
6277,37
6178,37
6278,37
6778,37
6179,37
5680,37
5584,37
5684,37
5685,37
6386,37
987,37
6387,37
5588,37
6088,37
6188,37
6788,37
5589,37
6189,37
6789,37
6090,37
6190,37
6790,37
6091,37
6791,37
6092,37
6093,37
6795,37
5696,37
6097,37
1904,38
305,38
1905,38
306,38
307,38
1908,38
1909,38
312,38
314,38
315,38
316,38
317,38
1824,38
2028,38
2029,38
2030,38
1832,38
1834,38
1840,38
1942,38
1943,38
1844,38
1845,38
1945,38
2050,38
2051,38
2251,38
2052,38
1953,38
2053,38
2054,38
