k_value,n
199,4367
186,4310
217,4184
168,4144
212,4134
204,4103
173,4083
230,4030
142,3840
191,3833
155,3812
160,3800
243,3727
222,3711
178,3645
209,3592
181,3495
235,3480
147,3431
165,3427
196,3427
137,3310
248,3272
183,3169
129,3164
150,3144
214,3103
201,3084
152,3071
227,3052
170,3014
134,2976
225,2969
261,2960
188,2954
240,2916
139,2844
157,2844
124,2835
253,2764
194,2754
274,2752
206,2719
175,2678
219,2678
162,2667
256,2652
232,2638
144,2631
193,2564
266,2529
245,2475
180,2465
116,2457
126,2394
198,2392
121,2382
111,2376
211,2370
237,2339
149,2323
224,2315
167,2274
163,2254
279,2250
185,2239
258,2233
131,2230
154,2123
271,2119
250,2095
172,2086
136,2064
229,2024
287,2014
119,2001
203,1992
159,1973
216,1945
242,1942
141,1938
190,1922
292,1911
263,1875
177,1872
284,1863
113,1829
195,1810
123,1789
118,1782
146,1776
208,1774
234,1773
255,1773
221,1765
276,1749
164,1737
108,1684
133,1682
182,1677
128,1663
106,1647
151,1630
305,1613
247,1605
169,1581
103,1579
213,1560
268,1553
297,1518
200,1511
138,1506
289,1485
187,1483
239,1474
132,1465
260,1450
156,1437
98,1421
115,1406
143,1401
310,1401
302,1378
226,1367
281,1351
205,1350
174,1348
105,1341
231,1333
125,1317
252,1308
110,1305
120,1301
218,1297
161,1284
192,1279
273,1261
130,1254
265,1238
318,1228
100,1215
148,1210
244,1184
179,1179
166,1175
294,1161
93,1156
197,1148
210,1131
135,1113
153,1110
184,1109
223,1087
286,1073
171,1072
323,1071
236,1055
315,1054
95,1049
257,1045
140,1021
238,1019
202,1018
307,1012
117,1006
112,1004
107,993
122,990
278,984
102,981
189,974
228,973
215,968
145,964
249,959
270,938
158,929
299,929
97,904
262,904
127,902
176,901
241,894
90,889
336,878
283,871
328,871
291,861
207,850
320,838
233,832
220,831
254,821
312,818
246,797
92,778
341,771
85,770
114,764
104,761
349,758
304,739
275,738
267,733
296,733
109,725
333,725
259,698
269,693
99,687
87,660
94,655
251,652
288,631
280,630
101,629
317,625
309,597
354,595
80,589
325,589
272,585
300,584
346,573
301,568
88,556
264,554
338,549
96,540
89,519
82,515
331,515
285,507
367,506
293,503
330,498
322,492
359,466
351,465
84,464
91,461
314,453
277,443
343,435
362,425
380,425
306,424
335,424
86,418
290,403
79,391
364,388
298,383
77,382
327,382
372,376
81,372
282,368
311,359
319,358
356,349
340,328
348,326
303,324
332,322
385,314
295,312
74,297
377,294
83,293
369,292
324,285
72,280
75,279
316,265
353,259
76,251
390,247
361,243
393,240
398,240
345,237
78,232
308,230
337,230
329,228
374,222
382,219
321,218
350,210
71,206
313,203
358,202
366,202
395,201
403,199
73,196
342,196
411,189
69,188
67,182
334,180
387,175
326,170
363,163
339,149
408,148
400,147
347,145
371,144
66,142
355,141
421,136
392,135
64,134
68,134
416,132
424,129
379,125
344,124
360,123
397,116
70,114
381,110
405,110
376,109
384,104
413,104
62,103
368,103
434,102
65,101
429,100
63,98
389,98
352,96
418,92
365,89
373,89
410,89
442,88
394,84
375,82
357,81
426,81
61,78
415,74
460,67
402,65
455,64
386,63
59,62
399,62
407,62
439,62
444,61
431,60
447,58
370,56
423,56
412,54
396,53
58,51
60,51
378,51
406,50
383,49
404,47
391,46
473,46
428,45
436,44
452,43
437,41
449,41
465,41
478,40
483,40
470,39
417,38
388,37
425,37
441,36
433,35
438,34
486,34
54,33
56,33
462,33
457,32
446,30
454,30
496,30
55,29
409,29
57,28
420,28
475,27
459,26
435,25
491,24
430,23
443,23
468,23
401,22
464,22
49,20
52,20
427,20
467,20
53,19
422,19
451,19
493,19
501,19
51,17
499,17
419,16
440,16
490,16
50,15
477,15
488,15
453,14
522,14
498,13
509,13
527,13
47,12
48,12
414,12
466,12
469,12
472,12
504,12
506,12
514,12
517,12
535,12
548,12
46,11
432,11
445,11
448,11
480,11
485,11
524,11
456,10
481,10
516,10
44,9
450,9
482,9
492,9
508,9
513,9
530,9
458,8
461,8
495,8
511,8
476,7
487,7
521,7
532,7
471,6
497,6
503,6
505,6
518,6
540,6
553,6
579,6
507,5
529,5
589,5
40,4
43,4
474,4
484,4
494,4
500,4
519,4
526,4
537,4
542,4
547,4
555,4
558,4
561,4
563,4
566,4
588,4
463,3
489,3
502,3
528,3
544,3
545,3
550,3
567,3
571,3
602,3
646,3
32,2
36,2
39,2
41,2
45,2
479,2
512,2
520,2
531,2
534,2
541,2
543,2
549,2
557,2
562,2
568,2
573,2
576,2
580,2
586,2
591,2
597,2
607,2
622,2
623,2
690,2
29,1
30,1
31,1
34,1
38,1
42,1
510,1
515,1
523,1
533,1
536,1
538,1
539,1
546,1
551,1
556,1
559,1
560,1
564,1
569,1
574,1
575,1
581,1
583,1
584,1
585,1
590,1
596,1
601,1
608,1
609,1
612,1
615,1
620,1
624,1
633,1
636,1
638,1
641,1
648,1
654,1
667,1
669,1
677,1
684,1
704,1
705,1
708,1
712,1
721,1
729,1
743,1
