original_number,capture_iteration,capture_state,capture_number
717,1,ODD,717
717,2,EVEN,2152
717,3,EVEN,1076
717,4,EVEN,538
717,5,ODD,269
717,6,EVEN,808
717,7,EVEN,404
717,8,EVEN,202
717,9,ODD,101
717,10,EVEN,304
717,11,EVEN,152
717,12,EVEN,76
717,13,EVEN,38
717,14,ODD,19
717,15,EVEN,58
717,16,ODD,29
717,17,EVEN,88
717,18,EVEN,44
717,19,EVEN,22
717,20,ODD,11
717,21,EVEN,34
717,22,ODD,17
717,23,EVEN,52
717,24,EVEN,26
717,25,ODD,13
717,26,EVEN,40
717,27,EVEN,20
717,28,EVEN,10
717,29,ODD,5
717,30,EVEN,16
717,31,EVEN,8
717,32,EVEN,4
717,33,EVEN,2
717,34,END,1
861,1,ODD,861
861,2,EVEN,2584
861,3,EVEN,1292
861,4,EVEN,646
861,5,ODD,323
861,6,EVEN,970
861,7,ODD,485
861,8,EVEN,1456
861,9,EVEN,728
861,10,EVEN,364
861,11,EVEN,182
861,12,ODD,91
861,13,EVEN,274
861,14,ODD,137
861,15,EVEN,412
861,16,EVEN,206
861,17,ODD,103
861,18,EVEN,310
861,19,ODD,155
861,20,EVEN,466
861,21,ODD,233
861,22,EVEN,700
861,23,EVEN,350
861,24,ODD,175
861,25,EVEN,526
861,26,ODD,263
861,27,EVEN,790
861,28,ODD,395
861,29,EVEN,1186
861,30,ODD,593
861,31,EVEN,1780
861,32,EVEN,890
861,33,ODD,445
861,34,EVEN,1336
861,35,EVEN,668
861,36,EVEN,334
861,37,ODD,167
861,38,EVEN,502
861,39,ODD,251
861,40,EVEN,754
861,41,ODD,377
861,42,EVEN,1132
861,43,EVEN,566
861,44,ODD,283
861,45,EVEN,850
861,46,ODD,425
861,47,EVEN,1276
861,48,EVEN,638
861,49,ODD,319
861,50,EVEN,958
861,51,ODD,479
861,52,EVEN,1438
861,53,ODD,719
861,54,EVEN,2158
861,55,ODD,1079
861,56,EVEN,3238
861,57,ODD,1619
861,58,EVEN,4858
861,59,ODD,2429
861,60,EVEN,7288
861,61,EVEN,3644
861,62,EVEN,1822
861,63,ODD,911
861,64,EVEN,2734
861,65,ODD,1367
861,66,EVEN,4102
861,67,ODD,2051
861,68,EVEN,6154
861,69,ODD,3077
861,70,EVEN,9232
861,71,EVEN,4616
861,72,EVEN,2308
861,73,EVEN,1154
861,74,ODD,577
861,75,EVEN,1732
861,76,EVEN,866
861,77,ODD,433
861,78,EVEN,1300
861,79,EVEN,650
861,80,ODD,325
861,81,EVEN,976
861,82,EVEN,488
861,83,EVEN,244
861,84,EVEN,122
861,85,ODD,61
861,86,EVEN,184
861,87,EVEN,92
861,88,EVEN,46
861,89,ODD,23
861,90,EVEN,70
861,91,ODD,35
861,92,EVEN,106
861,93,ODD,53
861,94,EVEN,160
861,95,EVEN,80
861,96,EVEN,40
861,97,EVEN,20
861,98,EVEN,10
861,99,ODD,5
861,100,EVEN,16
861,101,EVEN,8
861,102,EVEN,4
861,103,EVEN,2
861,104,END,1
135,1,ODD,135
135,2,EVEN,406
135,3,ODD,203
135,4,EVEN,610
135,5,ODD,305
135,6,EVEN,916
135,7,EVEN,458
135,8,ODD,229
135,9,EVEN,688
135,10,EVEN,344
135,11,EVEN,172
135,12,EVEN,86
135,13,ODD,43
135,14,EVEN,130
135,15,ODD,65
135,16,EVEN,196
135,17,EVEN,98
135,18,ODD,49
135,19,EVEN,148
135,20,EVEN,74
135,21,ODD,37
135,22,EVEN,112
135,23,EVEN,56
135,24,EVEN,28
135,25,EVEN,14
135,26,ODD,7
135,27,EVEN,22
135,28,ODD,11
135,29,EVEN,34
135,30,ODD,17
135,31,EVEN,52
135,32,EVEN,26
135,33,ODD,13
135,34,EVEN,40
135,35,EVEN,20
135,36,EVEN,10
135,37,ODD,5
135,38,EVEN,16
135,39,EVEN,8
135,40,EVEN,4
135,41,EVEN,2
135,42,END,1
239,1,ODD,239
239,2,EVEN,718
239,3,ODD,359
239,4,EVEN,1078
239,5,ODD,539
239,6,EVEN,1618
239,7,ODD,809
239,8,EVEN,2428
239,9,EVEN,1214
239,10,ODD,607
239,11,EVEN,1822
239,12,ODD,911
239,13,EVEN,2734
239,14,ODD,1367
239,15,EVEN,4102
239,16,ODD,2051
239,17,EVEN,6154
239,18,ODD,3077
239,19,EVEN,9232
239,20,EVEN,4616
239,21,EVEN,2308
239,22,EVEN,1154
239,23,ODD,577
239,24,EVEN,1732
239,25,EVEN,866
239,26,ODD,433
239,27,EVEN,1300
239,28,EVEN,650
239,29,ODD,325
239,30,EVEN,976
239,31,EVEN,488
239,32,EVEN,244
239,33,EVEN,122
239,34,ODD,61
239,35,EVEN,184
239,36,EVEN,92
239,37,EVEN,46
239,38,ODD,23
239,39,EVEN,70
239,40,ODD,35
239,41,EVEN,106
239,42,ODD,53
239,43,EVEN,160
239,44,EVEN,80
239,45,EVEN,40
239,46,EVEN,20
239,47,EVEN,10
239,48,ODD,5
239,49,EVEN,16
239,50,EVEN,8
239,51,EVEN,4
239,52,EVEN,2
239,53,END,1
601,1,ODD,601
601,2,EVEN,1804
601,3,EVEN,902
601,4,ODD,451
601,5,EVEN,1354
601,6,ODD,677
601,7,EVEN,2032
601,8,EVEN,1016
601,9,EVEN,508
601,10,EVEN,254
601,11,ODD,127
601,12,EVEN,382
601,13,ODD,191
601,14,EVEN,574
601,15,ODD,287
601,16,EVEN,862
601,17,ODD,431
601,18,EVEN,1294
601,19,ODD,647
601,20,EVEN,1942
601,21,ODD,971
601,22,EVEN,2914
601,23,ODD,1457
601,24,EVEN,4372
601,25,EVEN,2186
601,26,ODD,1093
601,27,EVEN,3280
601,28,EVEN,1640
601,29,EVEN,820
601,30,EVEN,410
601,31,ODD,205
601,32,EVEN,616
601,33,EVEN,308
601,34,EVEN,154
601,35,ODD,77
601,36,EVEN,232
601,37,EVEN,116
601,38,EVEN,58
601,39,ODD,29
601,40,EVEN,88
601,41,EVEN,44
601,42,EVEN,22
601,43,ODD,11
601,44,EVEN,34
601,45,ODD,17
601,46,EVEN,52
601,47,EVEN,26
601,48,ODD,13
601,49,EVEN,40
601,50,EVEN,20
601,51,EVEN,10
601,52,ODD,5
601,53,EVEN,16
601,54,EVEN,8
601,55,EVEN,4
601,56,EVEN,2
601,57,END,1
965,1,ODD,965
965,2,EVEN,2896
965,3,EVEN,1448
965,4,EVEN,724
965,5,EVEN,362
965,6,ODD,181
965,7,EVEN,544
965,8,EVEN,272
965,9,EVEN,136
965,10,EVEN,68
965,11,EVEN,34
965,12,ODD,17
965,13,EVEN,52
965,14,EVEN,26
965,15,ODD,13
965,16,EVEN,40
965,17,EVEN,20
965,18,EVEN,10
965,19,ODD,5
965,20,EVEN,16
965,21,EVEN,8
965,22,EVEN,4
965,23,EVEN,2
965,24,END,1
75,1,ODD,75
75,2,EVEN,226
75,3,ODD,113
75,4,EVEN,340
75,5,EVEN,170
75,6,ODD,85
75,7,EVEN,256
75,8,EVEN,128
75,9,EVEN,64
75,10,EVEN,32
75,11,EVEN,16
75,12,EVEN,8
75,13,EVEN,4
75,14,EVEN,2
75,15,END,1
695,1,ODD,695
695,2,EVEN,2086
695,3,ODD,1043
695,4,EVEN,3130
695,5,ODD,1565
695,6,EVEN,4696
695,7,EVEN,2348
695,8,EVEN,1174
695,9,ODD,587
695,10,EVEN,1762
695,11,ODD,881
695,12,EVEN,2644
695,13,EVEN,1322
695,14,ODD,661
695,15,EVEN,1984
695,16,EVEN,992
695,17,EVEN,496
695,18,EVEN,248
695,19,EVEN,124
695,20,EVEN,62
695,21,ODD,31
695,22,EVEN,94
695,23,ODD,47
695,24,EVEN,142
695,25,ODD,71
695,26,EVEN,214
695,27,ODD,107
695,28,EVEN,322
695,29,ODD,161
695,30,EVEN,484
695,31,EVEN,242
695,32,ODD,121
695,33,EVEN,364
