k_value,n
29,9
42,9
34,8
47,6
50,6
117,6
25,5
26,5
33,5
36,5
39,5
41,5
49,5
60,5
65,5
119,5
130,5
135,5
16,4
21,4
23,4
24,4
27,4
28,4
31,4
37,4
52,4
54,4
55,4
96,4
122,4
127,4
15,3
17,3
22,3
30,3
32,3
38,3
45,3
46,3
57,3
62,3
68,3
70,3
99,3
101,3
126,3
132,3
13,2
18,2
19,2
20,2
35,2
40,2
44,2
53,2
56,2
73,2
98,2
103,2
104,2
112,2
113,2
114,2
123,2
128,2
129,2
134,2
137,2
140,2
142,2
148,2
0,1
6,1
8,1
10,1
12,1
14,1
43,1
48,1
51,1
66,1
67,1
69,1
72,1
74,1
75,1
77,1
79,1
82,1
83,1
86,1
88,1
89,1
91,1
92,1
93,1
94,1
95,1
97,1
100,1
106,1
109,1
110,1
116,1
118,1
120,1
121,1
124,1
131,1
143,1
144,1
145,1
153,1
174,1
179,1
