z_value,k_value
1,0
5,6
3,8
13,10
53,12
113,13
17,13
213,14
75,15
453,15
69,15
853,16
909,16
23,16
151,16
301,17
277,17
45,17
15,18
93,18
29,19
181,19
403,20
369,20
753,21
739,21
19,21
805,21
241,22
245,22
267,22
81,23
535,23
77,23
469,23
965,24
163,24
995,24
149,24
49,25
309,25
331,25
325,25
321,25
597,26
99,26
625,26
653,26
643,26
205,27
33,27
217,27
197,27
433,28
397,28
435,28
475,28
867,29
133,29
955,29
883,29
857,29
875,29
951,29
833,29
953,29
269,30
261,30
289,30
633,31
525,31
583,31
547,31
177,32
173,32
179,32
423,33
355,33
349,33
59,33
385,33
717,34
693,34
847,34
119,34
115,34
769,34
771,34
709,34
39,35
229,35
465,36
473,36
79,36
461,36
477,36
947,37
949,37
157,37
987,37
315,38
317,38
305,38
611,39
683,39
647,39
613,39
631,39
209,40
203,40
455,41
419,41
407,41
409,41
431,41
135,42
139,42
841,42
817,42
813,42
911,42
843,42
819,42
845,42
287,43
557,44
541,44
187,45
185,45
191,45
367,46
375,46
363,46
749,47
723,47
727,47
809,47
127,47
735,47
249,48
489,49
499,49
481,49
509,49
493,49
999,50
969,50
997,50
979,50
963,50
169,50
339,51
719,52
665,52
677,52
657,52
239,53
225,53
479,54
451,54
439,54
443,54
957,55
855,55
907,55
877,55
319,56
295,56
569,57
601,57
637,57
849,60
787,60
779,60
759,60
767,60
567,62
505,62
519,62
699,65
711,65
755,65
679,65
673,65
251,66
503,67
897,68
923,68
905,68
335,69
669,70
615,70
603,70
445,72
799,73
807,73
297,74
595,75
395,77
263,79
351,82
701,83
839,86
621,88
207,89
745,91
275,92
549,93
993,94
365,95
671,96
733,96
121,96
743,96
243,97
495,98
447,98
973,99
161,99
977,99
323,100
645,101
107,101
651,101
429,103
71,103
861,104
143,104
95,106
125,109
41,110
27,112
165,112
333,113
55,113
109,114
661,114
449,116
881,117
145,117
899,117
903,117
927,117
885,117
299,118
581,119
97,119
587,119
589,119
599,119
199,120
391,121
781,122
785,122
129,122
783,122
265,123
259,123
521,124
343,126
345,126
347,126
695,127
685,127
689,127
691,127
235,128
231,128
459,129
457,129
941,130
925,130
921,130
929,130
959,130
313,131
627,132
609,132
639,132
417,134
415,134
825,135
815,135
831,135
835,135
823,135
553,137
543,137
731,140
737,140
487,142
491,142
983,143
327,144
649,145
889,148
865,148
763,153
937,174
871,179
