V1,V2,V3,V4
717,699,209,881
861,39,455,335
135,633,941,27
239,567,479,569
601,395,139,553
965,925,177,301
75,173,15,239
695,299,957,49
287,749,489,825
143,367,239,569
841,145,499,999
817,309,645,327
685,95,5,595
269,465,853,525
451,439,109,853
839,557,315,417
403,581,671,241
921,375,113,187
889,719,95,865
433,969,973,93
419,909,107,185
867,97,815,323
459,473,423,419
855,343,397,661
813,899,669,633
541,205,645,345
521,207,23,333
53,499,753,265
569,925,445,369
693,711,429,903
503,33,831,317
745,185,717,813
929,929,719,323
423,297,781,849
847,309,711,133
723,611,733,785
621,983,755,481
587,235,581,217
445,419,217,199
543,897,49,583
907,231,853,489
993,275,203,81
259,615,719,355
831,719,651,319
947,683,71,955
139,547,997,349
665,733,205,129
941,679,581,121
457,597,165,509
889,611,49,363
397,999,59,495
301,229,309,5
15,677,309,649
587,701,435,119
187,39,313,813
911,135,331,263
115,973,139,921
535,451,843,29
179,225,209,231
525,181,245,897
897,711,673,883
857,493,125,505
391,875,79,603
319,843,787,77
461,339,865,325
313,249,909,173
163,447,487,475
769,121,727,199
779,251,297,275
685,763,937,305
733,809,473,179
569,549,99,569
951,771,449,739
161,133,365,799
453,519,457,415
475,927,647,835
861,689,163,955
587,1,877,621
833,849,347,819
71,121,75,417
39,491,265,743
601,443,419,951
277,469,839,495
823,243,923,165
841,637,213,957
731,557,627,717
691,55,205,861
845,745,661,135
719,657,125,239
759,367,45,601
871,877,275,965
949,783,443,75
157,959,609,695
719,987,295,287
979,351,995,143
295,39,149,841
17,613,983,817
519,815,909,685
315,665,261,269
937,569,867,451
321,165,95,839
613,295,115,403
287,127,745,921
3,535,735,889
261,637,963,433
41,709,165,419
289,969,477,867
977,19,805,459
911,13,407,855
69,639,885,813
625,1,409,541
691,475,589,521
599,767,313,53
181,431,445,569
737,743,169,693
631,191,331,503
653,185,645,745
637,151,785,929
197,807,385,423
543,491,875,847
409,905,749,723
953,457,547,621
423,133,643,587
143,743,267,445
