z_value,k_value
706506293733,312
493475119118,177
918343743077,170
923440579325,408
896779209376,240
626825351734,193
700929688523,294
145260277670,271
896571171703,232
107571896632,330
222641163273,282
251555977855,370
135864306940,183
864294504514,302
81090885448,327
791207839503,276
340291539906,298
272839928512,96
906261609169,258
715840880294,211
490120134550,252
565501031466,291
643442267785,361
706351746573,162
592697603396,348
228429427604,282
849708321039,134
798186163884,258
669000278460,405
807302179747,183
508920666762,252
324098915095,205
500091886381,234
303259049776,228
877056894824,302
396843040595,430
899794365513,514
792255402776,214
244159369963,189
928987637861,276
830966823735,276
125813309569,250
838591298555,364
840619551251,201
577146276134,247
688478147612,219
7339406293,339
941655005795,315
999241192127,279
345343028894,311
159964669031,377
469216583763,376
508184065111,203
185555296718,641
942698915722,390
154974383768,191
237896847073,450
188140768093,230
472675569589,270
802102238639,400
656617291272,317
703021614580,136
292524495395,184
961086057127,235
155821511057,191
660337239039,224
272611501627,202
302211974515,241
737032729434,294
930007699645,196
414087998914,288
639400373446,317
32816642663,442
712648023852,224
767497257330,356
259322529426,370
473519256339,252
482910140884,314
430321375840,187
911140963203,315
962315086276,253
356285176240,373
953733204864,191
244704900776,150
76050218428,177
745601728326,232
150919824606,364
904664305272,346
329527127091,435
598888598849,211
867567942245,302
990594307660,253
994380881778,403
941074201139,222
532940356993,291
111921346281,206
362394631142,355
48245614162,109
225558283041,437
656385231996,206
641170911259,211
781369240722,201
278604123043,166
669311488746,193
771038951818,276
508511958411,332
645181898727,330
262634010055,308
469024221181,518
150152116549,214
975858371007,266
615738009103,317
69997649408,363
30114002526,323
869319078513,258
482269596775,508
826908030548,245
466429411900,283
791345243343,245
113587952918,299
430923894980,376
317454456818,360
307126932079,316
690987825394,167
545011155075,291
291093377630,272
122049692087,462
898321177345,209
843881542795,276
25962986984,227
524942327990,322
512725080597,146
266770952847,352
466161009856,252
817914878950,175
521861366695,190
195565968520,274
776713042753,214
670764373849,299
20474705846,175
848615897587,364
113262655680,237
571905750782,229
49594568555,210
193396683550,186
359152756166,218
650890648598,392
606220924994,348
830695030047,302
931538899197,328
610990118236,224
165517048911,253
130723544397,294
301608758979,202
120177199599,268
419748846908,301
118803797756,449
840680829948,201
400587020442,231
339021681576,267
372471403098,293
831542160363,258
209426059155,243
90247240384,185
909728473286,315
408635088243,319
776616132353,188
843122219667,289
190545041813,168
347546804930,298
498741691001,203
352859040723,342
671359190019,255
899838428712,284
694376681932,224
608173037181,361
492649532622,327
22193543613,307
42711828370,171
605019055075,410
739359350410,338
240495612612,313
671158228070,229
945456760237,196
983997330070,235
669204527047,268
78871045728,252
12618160341,164
58500738582,249
360451129964,324
924229126424,222
568465634017,335
705523529090,343
402506075101,231
108239689144,255
402942529182,182
425002164906,244
419231068343,138
315959787695,391
514138350729,340
50721738488,241
263085674495,321
961909901817,191
686891684076,175
698168532691,219
778312711511,444
748196742032,612
138488925994,183
622338516405,348
532781285700,384
470784383594,420
755000835052,413
7196755847,215
979037101847,191
273718143115,215
404804905644,244
293665376492,272
935275305296,284
354325789726,241
20106252982,325
638352575014,317
242747387151,233
606020366774,410
379566459451,275
304841082311,223
861868342851,276
774649326923,550
531943748007,309
971519238083,558
20056398353,281
