z_value,k_value
909369839356,258
802453520243,258
24230757496,258
931437857217,258
144510191633,258
839888923802,258
870143351611,258
834593466716,258
799359304831,258
856198930881,258
895029366483,258
801742814715,258
23138029501,258
879489124753,258
140300415922,258
892686724198,258
800229323330,258
152325348929,258
827838726109,258
826888882323,258
23147067754,258
992748118938,258
866548268125,258
832074446138,258
856315728277,258
912508438342,258
881920222426,258
844761062181,258
826704607578,258
832175842487,258
807206925937,258
896886733361,258
827753575286,258
137227182743,258
847931461409,258
883246584796,258
847894587787,258
879113096977,258
856932717376,258
829813488527,258
846145024989,258
892999206437,258
855353115825,258
902330331039,258
820676276926,258
834079509369,258
859493011376,258
892683156301,258
856087143301,258
899007988628,258
155143954792,258
141824289691,258
845558998874,258
825279647252,258
888915441232,258
166001208127,258
836792723742,258
828435558128,258
868201722624,258
860777489609,258
818590939977,258
803702072939,258
895208807895,258
894320931286,258
990712884348,258
854625091423,258
902998494451,258
850468359655,258
137503910345,258
801600227366,258
139340401860,258
991961821449,258
842912369175,258
905864590314,258
145824798150,258
839482244337,258
825163476402,258
895359018818,258
847543748096,258
833545734874,258
895611706889,258
838355354732,258
879869821482,258
860650783172,258
852999024326,258
995206121821,258
849121890963,258
818967323518,258
868919766974,258
834494527430,258
801569433651,258
141586434562,258
823471107521,258
897771030199,258
850695878966,258
800320924726,258
888270770200,258
147493835073,258
891742663458,258
823552889983,258
857486421709,258
849105845672,258
833011520096,258
817146046786,258
798352084356,258
847505261656,258
802562448895,258
844303144375,258
802430828801,258
839681125712,258
830546865007,258
895240838873,258
894480004907,258
894428299973,258
896483557299,258
874502481660,258
889154081699,258
844244128094,258
138511305675,258
825074316469,258
831052675844,258
806058410090,258
847598400899,258
868548312225,258
140951019945,258
991485410138,258
143765561982,258
798446250149,258
149256917649,258
818561805180,258
818513652776,258
144258785993,258
133175078314,258
832962101093,258
829890922411,258
148897910025,258
990211211378,258
865248860093,258
144285920309,258
834622454597,258
148590342841,258
138392931317,258
893241478364,258
804935910274,258
994311782532,258
146528570680,258
140177989379,258
805156940362,258
835691450397,258
145542304963,258
899829858915,258
829579789192,258
920020542807,258
878611347173,258
809155642987,258
138382697711,258
809877751628,258
860061671353,258
165382832289,258
895237043500,258
850455685519,258
848584941356,258
858081056737,258
820904244902,258
24873395684,258
165942703607,258
845440248726,258
995265398175,258
807610581397,258
898766730913,258
894433268579,258
868204576429,258
833838207415,258
807216170244,258
808697781293,258
852905767039,258
816167909885,258
843641878572,258
855765447720,258
827758833301,258
149256629171,258
848119406961,258
144707696979,258
872380113230,258
148737648037,258
848971331725,258
847268156708,258
841489268234,258
828263259028,258
912056234200,258
809193966445,258
831143519609,258
836273474619,258
137511554175,258
998708666536,258
828629412223,258
829881443643,258
879371551797,258
142123670085,258
835511370097,258
810493470636,258
840590892593,258
855371252634,258
836352157174,258
832843524870,258
835158673581,258
831891642884,258
153699328425,258
895381581272,258
864876455861,258
845222042408,258
141998257489,258
991895257729,258
864215758397,258
138891494368,258
827501373599,258
894287506119,258
832612360362,258
863700283692,258
143462185050,258
920082159807,258
895157933934,258
140813139966,258
850603973959,258
140656885924,258
838357085595,258
826919383137,258
994169657585,258
819397267420,258
839766800870,258
992097682087,258
880591411843,258
991095384816,258
878592750058,258
827115564608,258
890072781826,258
868850722909,258
994964823593,258
849519432756,258
892978230026,258
852389950771,258
896275347798,258
823463613401,258
914030759596,258
142145569204,258
897359271069,258
837743982208,258
912125217030,258
137262486155,258
809393392643,258
873059460428,258
835594515084,258
838336196961,258
165169827641,258
165776494891,258
832527122228,258
860196863069,258
811512128450,258
141700299923,258
896232931410,258
147044631420,258
803886263399,258
899307696149,258
820352000651,258
821144683287,258
847586221528,258
865146741504,258
896572546335,258
138658759185,258
847016241635,258
899022091879,258
833606672241,258
895218992606,258
854630746414,258
874556890457,258
878774211044,258
824162888108,258
23135140772,258
920628395631,258
823349807179,258
864234517096,258
806867413922,258
833532055840,258
894554511179,258
844562441111,258
823691871018,258
833382508485,258
895776103484,258
3851134331,258
899404179771,258
920017660363,258
809733428527,258
147240559338,258
870531941532,258
832118154038,258
835510249017,258
831060317811,258
829678416485,258
832699452760,258
823355178349,258
992387013510,258
930882504909,258
900688542054,258
992339668563,258
798353557941,258
896511378699,258
823800732615,258
827734646155,258
820833227365,258
930633366341,258
854595441372,258
840906476835,258
823082354619,258
994637702592,258
831099771429,258
840505756205,258
900693665492,258
832470092690,258
139007245424,258
865612954600,258
833644071362,258
144863104215,258
825020515826,258
900348159019,258
824977337383,258
920983348741,258
896425052081,258
145518557868,258
870890207589,258
847595605068,258
834895526059,258
803116949508,258
137485676678,258
912404690637,258
137200314319,258
879364358727,258
866765278858,258
883510615211,258
912494224497,258
882120365045,258
801880599466,258
849532986759,258
140725058038,258
816634894116,258
859990835656,258
808703128947,258
840081437957,258
837075969205,258
832773493836,258
845922747395,258
808745059651,258
832572062500,258
895190543263,258
803727506660,258
876850891626,258
137840283104,258
993244824233,258
820470733336,258
141956783366,258
855609790423,258
805387866218,258
808765701717,258
878710285062,258
825283432380,258
992497317726,258
843289390672,258
912405320677,258
873135795119,258
853660147870,258
900671340293,258
831861867337,258
989998796955,258
800227174536,258
843886193587,258
920268631541,258
845469977474,258
830106354785,258
824403535342,258
900434838143,258
906438752311,258
23119137157,258
839828056749,258
148708190537,258
829615857918,258
900244519581,258
834594746121,258
896114570788,258
825570434332,258
827855611453,258
831186685944,258
866808520631,258
860715862830,258
854150340427,258
865605820204,258
835358230165,258
867057420547,258
139571939130,258
845956185367,258
897009135923,258
830643364462,258
895830562804,258
832675857237,258
867497098400,258
844248784474,258
889251388144,258
844314945164,258
920708158520,258
840518166544,258
802243382438,258
136006142246,258
828435001197,258
141107336851,258
151066141669,258
149032790447,258
808086848585,258
995712947101,258
844092571643,258
805312264246,258
138787181583,258
870579066221,258
850257597166,258
849211320747,258
823281262070,258
810080080992,258
895454294049,258
140494805296,258
144035082777,258
809171155096,258
827619691613,258
832655580948,258
817104378716,258
24126478937,258
809185925173,258
846921485616,258
890128822532,258
809052205878,258
888963692356,258
897564221174,258
852582230932,258
920149158454,258
871867169627,258
870146800997,258
833954999224,258
995852979133,258
899451233447,258
165927265538,258
879061958520,258
908395585605,258
807938541286,258
140330965398,258
842068623752,258
149188853568,258
849115767051,258
139539765427,258
897777331993,258
138956735144,258
868727604393,258
832042303635,258
134567436763,258
999946646393,258
895120840520,258
852942139144,258
804346330232,258
895708157449,258
808848518879,258
138792891289,258
991016471060,258
868252811954,258
847754998832,258
881928809220,258
841029706877,258
843947396614,258
871194776148,258
148011414568,258
862600516528,258
813233520836,258
892680865247,258
991200979334,258
827932578745,258
871363053332,258
151956000133,258
807399966755,258
990522515262,258
135061131791,258
847231628141,258
818475694396,258
857470527525,258
800057624467,258
868488153909,258
931382133626,258
840443631169,258
848503316055,258
906297081849,258
808168181452,258
880546778441,258
145009441535,258
864306143020,258
835944175022,258
849163403269,258
906491859817,258
833706288366,258
830720983446,258
843509610277,258
801093283576,258
800189357717,258
995242107893,258
991950846743,258
852012818447,258
852037558333,258
899907869287,258
838173374534,258
936689424562,258
892846096540,258
865427390673,258
883594310144,258
866760767764,258
813232825604,258
842344521545,258
140736911912,258
3856298281,258
831033989788,258
138886883157,258
900275218301,258
140762808035,258
893167103641,258
23134624819,258
884923582431,258
827582170489,258
142983182334,258
870090750047,258
138658176875,258
798186243745,258
873124322854,258
868393359473,258
149893719936,258
800229424611,258
150473091286,258
799052934861,258
864837574307,258
828709241003,258
830854460132,258
828386735404,258
848037218676,258
868240186712,258
823376278393,258
834633731517,258
911790771410,258
862192106201,258
805989769521,258
889282074059,258
823058801005,258
807990903501,258
894445256796,258
138040489052,258
838197967737,258
822916634381,258
801548094722,258
801870301599,258
879092849792,258
823078921764,258
848960307893,258
897826328641,258
893180969637,258
144915442914,258
808864483377,258
802832171554,258
991769382963,258
810979680624,258
920174289495,258
830727209803,258
898264679593,258
992427233374,258
805004081689,258
821179588326,258
895661969670,258
992501918227,258
850464111195,258
139939812944,258
809766759864,258
865137713962,258
801768081729,258
889156215592,258
823357128772,258
801708884305,258
871740197298,258
830495633884,258
836067122641,258
823566572276,258
147979758913,258
854723557365,258
991980615538,258
807075873949,258
903977064416,258
803187896265,258
838783120970,258
852810839192,258
868415518431,258
845357268351,258
805382353487,258
836907558376,258
832675840008,258
133515567054,258
142138153548,258
930774261710,258
838180792286,258
992485220079,258
831360931276,258
989977392601,258
994505102048,258
906502614497,258
850873693359,258
844229733339,258
888040139108,258
824353533565,258
833391916240,258
868521365803,258
842380221235,258
995137261460,258
852341139224,258
919995998266,258
134814293124,258
860279174289,258
862172674388,258
863361432683,258
867530275602,258
152030367172,258
798950049794,258
647638226,258
817134368932,258
898692795076,258
830191517482,258
818307930138,258
138371487847,258
846911508590,258
869791861624,258
897873308510,258
133365567541,258
833693861263,258
833032779396,258
139674913837,258
911783422344,258
895283198916,258
808756561019,258
840642600088,258
900698278565,258
134688035585,258
920995068970,258
802740266780,258
930711226305,258
134763532086,258
831984182587,258
