z_value,k_value,sep
213568998734,217,NA
213537115604,217,31883130
213286244544,217,250871060
213077719324,217,208525220
213073880179,217,3839145
212983638049,217,90242130
212932705647,217,50932402
212887741859,217,44963788
212840151275,217,47590584
212828116492,217,12034783
212779282593,217,48833899
212765835925,217,13446668
212657891913,217,107944012
212647999637,217,9892276
212381972233,217,266027404
212368320209,217,13652024
212279724656,217,88595553
212231055601,217,48669055
212159145857,217,71909744
212069756352,217,89389505
212063880871,217,5875481
212062935578,217,945293
212049297058,217,13638520
211989324540,217,59972518
211987808813,217,1515727
211931030034,217,56778779
211920492352,217,10537682
211907285499,217,13206853
211851304863,217,55980636
211845302256,217,6002607
211819042452,217,26259804
211812539259,217,6503193
211787954672,217,24584587
211709599011,217,78355661
211672941456,217,36657555
200353381457,217,11319559999
199023659574,217,1329721883
197004765738,217,2018893836
196940138238,217,64627500
196935870452,217,4267786
196932112566,217,3757886
196858762065,217,73350501
196798969294,217,59792771
196777124657,217,21844637
196747270413,217,29854244
196722319816,217,24950597
196694106097,217,28213719
196689457167,217,4648930
195207346464,217,1482110703
195126542822,217,80803642
195013211575,217,113331247
195012457669,217,753906
194980813889,217,31643780
194460208994,217,520604895
194017637754,217,442571240
194011103828,217,6533926
193887003232,217,124100596
193767993711,217,119009521
193767799764,217,193947
193744871300,217,22928464
193688327447,217,56543853
193679105491,217,9221956
193446748425,217,232357066
193322885549,217,123862876
193197020097,217,125865452
193189198850,217,7821247
193174654386,217,14544464
193167090882,217,7563504
193143650657,217,23440225
193041557214,217,102093443
192895692308,217,145864906
192576685455,217,319006853
192529121880,217,47563575
192348193378,217,180928502
192315798020,217,32395358
192278858508,217,36939512
192233092385,217,45766123
192053888459,217,179203926
191970124841,217,83763618
191925044638,217,45080203
191860850202,217,64194436
191857689526,217,3160676
191827008967,217,30680559
191811220255,217,15788712
191797028529,217,14191726
191776680761,217,20347768
191767908866,217,8771895
191582140513,217,185768353
191568378127,217,13762386
191550103017,217,18275110
191485503689,217,64599328
191430933541,217,54570148
191415756941,217,15176600
191398590571,217,17166370
191398426192,217,164379
191395581700,217,2844492
191390163498,217,5418202
191387906904,217,2256594
191253917292,217,133989612
191186595243,217,67322049
191177693662,217,8901581
191032160773,217,145532889
191028610804,217,3549969
190932967235,217,95643569
190932537197,217,430038
190730645089,217,201892108
190615496832,217,115148257
190123708221,217,491788611
189874297008,217,249411213
189762634924,217,111662084
189736289904,217,26345020
189010090661,217,726199243
188908369048,217,101721613
188651598292,217,256770756
188646652271,217,4946021
188305829419,217,340822852
188270735555,217,35093864
