z_value,k_value,sep
989807688,217,NA
988755568,217,1052120
988737747,217,17821
987431097,217,1306650
986458562,217,972535
986315879,217,142683
986033603,217,282276
985935807,217,97796
985892156,217,43651
985880303,217,11853
985876729,217,3574
985847123,217,29606
985783422,217,63701
985717521,217,65901
985601409,217,116112
985540983,217,60426
985535583,217,5400
985511610,217,23973
985393622,217,117988
985314599,217,79023
985306295,217,8304
985269113,217,37182
985248955,217,20158
985160564,217,88391
985135850,217,24714
985127438,217,8412
985117683,217,9755
985116159,217,1524
985115227,217,932
985005788,217,109439
984981007,217,24781
984968159,217,12848
984913358,217,54801
984906710,217,6648
984903700,217,3010
984751413,217,152287
984731206,217,20207
984729832,217,1374
984718322,217,11510
984616958,217,101364
984612974,217,3984
984591455,217,21519
984502479,217,88976
984481807,217,20672
984472020,217,9787
984311332,217,160688
984292283,217,19049
984213860,217,78423
984190481,217,23379
984157322,217,33159
984107170,217,50152
984105594,217,1576
984024321,217,81273
983980622,217,43699
983973744,217,6878
983967824,217,5920
983966466,217,1358
983954738,217,11728
983943850,217,10888
983909396,217,34454
983867820,217,41576
983496164,217,371656
983477075,217,19089
983446718,217,30357
983283610,217,163108
983272594,217,11016
983266194,217,6400
983242739,217,23455
983211239,217,31500
983204558,217,6681
983202391,217,2167
983199205,217,3186
983197334,217,1871
983193329,217,4005
983138242,217,55087
983137610,217,632
983121634,217,15976
983108457,217,13177
983100020,217,8437
983028302,217,71718
983019610,217,8692
982912276,217,107334
982847381,217,64895
982833571,217,13810
982803744,217,29827
982763683,217,40061
982709731,217,53952
982603786,217,105945
982553327,217,50459
982549302,217,4025
982508301,217,41001
982427731,217,80570
982418463,217,9268
982394659,217,23804
982388096,217,6563
982363891,217,24205
982355832,217,8059
982345543,217,10289
982342258,217,3285
982338938,217,3320
982332123,217,6815
982332067,217,56
982331556,217,511
982322744,217,8812
982272907,217,49837
982268995,217,3912
982266784,217,2211
982254139,217,12645
982240680,217,13459
982231525,217,9155
982231162,217,363
982230228,217,934
982223046,217,7182
982210326,217,12720
982203094,217,7232
982199939,217,3155
982189368,217,10571
982160242,217,29126
982068461,217,91781
982028004,217,40457
981922579,217,105425
981906865,217,15714
981884360,217,22505
981750697,217,133663
981723151,217,27546
981673181,217,49970
981458421,217,214760
981394370,217,64051
981394351,217,19
981315625,217,78726
981226551,217,89074
981216649,217,9902
981193415,217,23234
981173163,217,20252
981130017,217,43146
981075886,217,54131
981072498,217,3388
981048817,217,23681
981013836,217,34981
980999769,217,14067
980947723,217,52046
980918383,217,29340
980886031,217,32352
980826075,217,59956
980807401,217,18674
980765407,217,41994
980764989,217,418
980753061,217,11928
980618495,217,134566
980614680,217,3815
980604280,217,10400
980533535,217,70745
980507488,217,26047
980499369,217,8119
980499055,217,314
980408302,217,90753
980398529,217,9773
980089848,217,308681
979984232,217,105616
979981422,217,2810
979973787,217,7635
979969934,217,3853
979958881,217,11053
927817551,217,52141330
927795484,217,22067
927768570,217,26914
927747790,217,20780
927560162,217,187628
927422557,217,137605
927099341,217,323216
927003293,217,96048
926991419,217,11874
926969912,217,21507
926838392,217,131520
921618011,217,5220381
921562259,217,55752
921548254,217,14005
921480318,217,67936
921342077,217,138241
921296905,217,45172
921270283,217,26622
912848507,217,8421776
912827179,217,21328
912765620,217,61559
912765131,217,489
912647393,217,117738
911677410,217,969983
911667583,217,9827
911667002,217,581
911662360,217,4642
911653880,217,8480
911650999,217,2881
911614867,217,36132
911614505,217,362
911565772,217,48733
911514450,217,51322
911509666,217,4784
911509461,217,205
911505898,217,3563
911502933,217,2965
911123033,217,379900
911105190,217,17843
911087630,217,17560
911073741,217,13889
911055689,217,18052
910942318,217,113371
910932068,217,10250
910891421,217,40647
910889717,217,1704
910869772,217,19945
910868709,217,1063
910861084,217,7625
910829605,217,31479
910753956,217,75649
910732382,217,21574
910722401,217,9981
910707945,217,14456
910705103,217,2842
910703582,217,1521
910636341,217,67241
910635794,217,547
910623137,217,12657
910611272,217,11865
910601071,217,10201
910590907,217,10164
910589075,217,1832
910582950,217,6125
910581220,217,1730
910568890,217,12330
910568500,217,390
904730879,217,5837621
904700547,217,30332
904687973,217,12574
904331397,217,356576
903791207,217,540190
903784442,217,6765
903777265,217,7177
903733212,217,44053
903712693,217,20519
903538348,217,174345
903497644,217,40704
903375220,217,122424
903375184,217,36
903267033,217,108151
903235455,217,31578
903173159,217,62296
903166226,217,6933
903094863,217,71363
903019829,217,75034
903011896,217,7933
902988457,217,23439
902977955,217,10502
902968119,217,9836
902954479,217,13640
902898954,217,55525
902889328,217,9626
902846702,217,42626
902685003,217,161699
902646418,217,38585
902577065,217,69353
902544340,217,32725
900339964,217,2204376
900339559,217,405
900296694,217,42865
898610083,217,1686611
898604747,217,5336
898472918,217,131829
898319875,217,153043
898275227,217,44648
898155891,217,119336
897871512,217,284379
897831879,217,39633
897813292,217,18587
897792491,217,20801
897376553,217,415938
897335783,217,40770
897291881,217,43902
897289998,217,1883
897253240,217,36758
897250471,217,2769
897234431,217,16040
897229527,217,4904
897099116,217,130411
897092047,217,7069
896958630,217,133417
895652974,217,1305656
895589841,217,63133
895587934,217,1907
895552607,217,35327
895544709,217,7898
895145802,217,398907
895029245,217,116557
894899707,217,129538
894840981,217,58726
894840406,217,575
894794638,217,45768
894692764,217,101874
894684651,217,8113
894624455,217,60196
894620403,217,4052
894449993,217,170410
894425890,217,24103
894423472,217,2418
894412303,217,11169
894308154,217,104149
894285845,217,22309
894221255,217,64590
894207847,217,13408
894199574,217,8273
894174991,217,24583
894161848,217,13143
893857868,217,303980
893823964,217,33904
893634322,217,189642
893007367,217,626955
893007157,217,210
892223063,217,784094
892145369,217,77694
892070485,217,74884
891628609,217,441876
891581877,217,46732
891565195,217,16682
891556826,217,8369
891553746,217,3080
891542995,217,10751
891366095,217,176900
891234768,217,131327
891224678,217,10090
891200246,217,24432
891036207,217,164039
890989502,217,46705
890988783,217,719
890965587,217,23196
890962631,217,2956
890939754,217,22877
890841042,217,98712
890833948,217,7094
890759454,217,74494
890754451,217,5003
890744005,217,10446
890733852,217,10153
890731110,217,2742
890726352,217,4758
890722296,217,4056
890714375,217,7921
890702850,217,11525
890692601,217,10249
890676468,217,16133
890673273,217,3195
890635251,217,38022
890627614,217,7637
890611095,217,16519
890580914,217,30181
890575427,217,5487
890498924,217,76503
890489455,217,9469
890485822,217,3633
890452317,217,33505
890371209,217,81108
890350492,217,20717
890342676,217,7816
890331876,217,10800
890207816,217,124060
890188710,217,19106
890125913,217,62797
890085738,217,40175
890028226,217,57512
890020230,217,7996
889969541,217,50689
889943865,217,25676
889928206,217,15659
889913373,217,14833
889802896,217,110477
889637303,217,165593
889632931,217,4372
889611703,217,21228
889597490,217,14213
889597438,217,52
889136815,217,460623
888836325,217,300490
888768041,217,68284
888756466,217,11575
888699977,217,56489
888695043,217,4934
888690041,217,5002
888675295,217,14746
888496628,217,178667
888352562,217,144066
888346357,217,6205
888280383,217,65974
888276853,217,3530
888189714,217,87139
888173347,217,16367
888080402,217,92945
887947638,217,132764
887945757,217,1881
887866705,217,79052
887853746,217,12959
887848620,217,5126
887846909,217,1711
887844696,217,2213
887840778,217,3918
887838057,217,2721
887829244,217,8813
887825376,217,3868
887820579,217,4797
887819492,217,1087
887792621,217,26871
887790961,217,1660
887764493,217,26468
887764381,217,112
887763279,217,1102
887762997,217,282
887762945,217,52
887751983,217,10962
887749131,217,2852
887738626,217,10505
887736079,217,2547
887558175,217,177904
887540614,217,17561
887511078,217,29536
887441966,217,69112
887428899,217,13067
887413457,217,15442
887390605,217,22852
887350481,217,40124
887348283,217,2198
887345121,217,3162
887343919,217,1202
887280045,217,63874
887230875,217,49170
887224482,217,6393
887219069,217,5413
886971903,217,247166
886930751,217,41152
886863403,217,67348
886834442,217,28961
886799866,217,34576
886779947,217,19919
886768490,217,11457
886762629,217,5861
886759332,217,3297
886734389,217,24943
886733275,217,1114
886728935,217,4340
886715420,217,13515
886690688,217,24732
886652543,217,38145
886582322,217,70221
886581087,217,1235
886568719,217,12368
886518539,217,50180
886518298,217,241
886480789,217,37509
886464787,217,16002
886463520,217,1267
886463267,217,253
886462170,217,1097
886462115,217,55
886415361,217,46754
886414419,217,942
886404395,217,10024
886402609,217,1786
886396608,217,6001
886390310,217,6298
886382839,217,7471
886382255,217,584
886382228,217,27
886381530,217,698
886381336,217,194
886368517,217,12819
886368077,217,440
886337000,217,31077
886331177,217,5823
886330662,217,515
886317067,217,13595
886311534,217,5533
886298338,217,13196
886294977,217,3361
886292136,217,2841
886286769,217,5367
886283885,217,2884
886280996,217,2889
886276200,217,4796
886257047,217,19153
886249891,217,7156
886247472,217,2419
886224859,217,22613
886224331,217,528
886224201,217,130
886216271,217,7930
886212717,217,3554
886208019,217,4698
886202873,217,5146
886197083,217,5790
886192584,217,4499
886192492,217,92
886186336,217,6156
886185333,217,1003
886184934,217,399
886183903,217,1031
886165663,217,18240
886164055,217,1608
886163522,217,533
886158223,217,5299
886153587,217,4636
886126228,217,27359
886121904,217,4324
886120646,217,1258
886119484,217,1162
886113653,217,5831
886113634,217,19
886102387,217,11247
886097023,217,5364
886096545,217,478
886093350,217,3195
886085661,217,7689
886083514,217,2147
886083256,217,258
886082455,217,801
886079495,217,2960
886072008,217,7487
886067986,217,4022
886057447,217,10539
886040413,217,17034
886027136,217,13277
886025634,217,1502
886024886,217,748
886024831,217,55
886021168,217,3663
886017560,217,3608
886012119,217,5441
886005773,217,6346
885994073,217,11700
885986892,217,7181
885985518,217,1374
885984603,217,915
885970209,217,14394
885958698,217,11511
885954427,217,4271
885951381,217,3046
885949717,217,1664
885936093,217,13624
885898635,217,37458
885814417,217,84218
885814206,217,211
885803601,217,10605
885758235,217,45366
885740120,217,18115
885713516,217,26604
885678026,217,35490
885660983,217,17043
885639591,217,21392
885613035,217,26556
885611887,217,1148
885610641,217,1246
885581290,217,29351
885575252,217,6038
885573911,217,1341
885549021,217,24890
885498052,217,50969
885442979,217,55073
885386564,217,56415
885378231,217,8333
885371142,217,7089
885363588,217,7554
885359613,217,3975
885350236,217,9377
885326689,217,23547
885323732,217,2957
885279421,217,44311
885226523,217,52898
885197863,217,28660
885053650,217,144213
885046467,217,7183
885036619,217,9848
885034927,217,1692
885032345,217,2582
885030607,217,1738
885028993,217,1614
885022896,217,6097
885015047,217,7849
885009052,217,5995
884991135,217,17917
884990420,217,715
884980089,217,10331
884954420,217,25669
884917284,217,37136
884206744,217,710540
884206453,217,291
884205095,217,1358
884200932,217,4163
884197010,217,3922
884184965,217,12045
884180433,217,4532
884120635,217,59798
883954852,217,165783
883936348,217,18504
883837873,217,98475
883788383,217,49490
883702207,217,86176
883666209,217,35998
883661993,217,4216
883660182,217,1811
883654667,217,5515
883651400,217,3267
883639404,217,11996
883636733,217,2671
883624555,217,12178
883616844,217,7711
883558719,217,58125
883555301,217,3418
883451855,217,103446
883449846,217,2009
883441379,217,8467
883412452,217,28927
883382719,217,29733
883182083,217,200636
883030361,217,151722
883024745,217,5616
883019222,217,5523
883010387,217,8835
882981986,217,28401
882977622,217,4364
882967397,217,10225
882910612,217,56785
882867997,217,42615
882799703,217,68294
882776815,217,22888
882737841,217,38974
882737099,217,742
882736980,217,119
882736385,217,595
882725223,217,11162
882722031,217,3192
882716472,217,5559
882714222,217,2250
882703881,217,10341
882697047,217,6834
882691735,217,5312
882689765,217,1970
882673724,217,16041
882656695,217,17029
882646102,217,10593
882639036,217,7066
882630998,217,8038
882629452,217,1546
882558390,217,71062
882553339,217,5051
882551104,217,2235
882526317,217,24787
882518251,217,8066
882516747,217,1504
882510221,217,6526
882502591,217,7630
882489665,217,12926
882489586,217,79
882488492,217,1094
882480825,217,7667
882475474,217,5351
882464907,217,10567
882460836,217,4071
882449133,217,11703
881613162,217,835971
881167597,217,445565
881120394,217,47203
881102975,217,17419
881070493,217,32482
880479640,217,590853
880415371,217,64269
880286256,217,129115
880276952,217,9304
880240671,217,36281
880237489,217,3182
880210199,217,27290
880210194,217,5
880209274,217,920
880208469,217,805
880203027,217,5442
880180561,217,22466
880156702,217,23859
880150319,217,6383
880135159,217,15160
880096393,217,38766
880084569,217,11824
880070506,217,14063
880045871,217,24635
880037566,217,8305
879977851,217,59715
879972233,217,5618
879968312,217,3921
879930090,217,38222
879921519,217,8571
879865294,217,56225
879850702,217,14592
879623618,217,227084
879622546,217,1072
879613292,217,9254
879531874,217,81418
879286819,217,245055
879286001,217,818
879160895,217,125106
879114418,217,46477
879113123,217,1295
879070592,217,42531
879067806,217,2786
879061836,217,5970
879044813,217,17023
879021399,217,23414
878983179,217,38220
878981242,217,1937
878980784,217,458
878968846,217,11938
878950876,217,17970
878944540,217,6336
878943141,217,1399
878910150,217,32991
878901723,217,8427
878663000,217,238723
878626335,217,36665
878621150,217,5185
878620460,217,690
878616384,217,4076
878612552,217,3832
878465461,217,147091
878403875,217,61586
878372749,217,31126
876791016,217,1581733
876769678,217,21338
876764689,217,4989
876756402,217,8287
876755223,217,1179
876754956,217,267
876672386,217,82570
876076969,217,595417
876017947,217,59022
876016496,217,1451
