z_value,k_value,sep
828078961,217,1
135034673,217,1
835272053,217,2
880210194,217,5
147567259,217,6
856416463,217,7
833206823,217,7
825141132,217,9
143341806,217,9
833664255,217,10
143010405,217,10
814771173,217,13
839354464,217,14
872990273,217,16
139285007,217,17
981394351,217,19
886113634,217,19
815910279,217,20
825381575,217,22
819580932,217,23
834886744,217,26
886382228,217,27
798954234,217,28
143316545,217,28
903375184,217,36
863390791,217,37
831509959,217,40
825366579,217,40
822471118,217,41
142414873,217,41
822394438,217,44
889597438,217,52
887762945,217,52
841542162,217,52
838922490,217,54
886462115,217,55
886024831,217,55
982332067,217,56
848482221,217,57
799079069,217,65
794224541,217,74
802559385,217,78
882489586,217,79
801527865,217,79
138832219,217,85
874149216,217,86
834816892,217,88
143516741,217,89
138683196,217,89
836775896,217,90
861585250,217,91
843892828,217,91
886192492,217,92
835055306,217,98
819580832,217,100
824548750,217,109
831382341,217,110
887764381,217,112
815038780,217,112
869449446,217,113
862974531,217,113
824887241,217,115
882736980,217,119
792141636,217,122
858325269,217,124
815170398,217,125
801456802,217,125
821300836,217,128
819174961,217,128
886224201,217,130
139474651,217,130
816715857,217,131
862781846,217,132
143521715,217,134
23197914,217,141
140102662,217,144
863069005,217,150
860122347,217,150
814930652,217,151
832974706,217,152
141381244,217,152
863029270,217,154
860266728,217,154
143009584,217,156
137931073,217,156
792033725,217,158
139680847,217,159
828158106,217,160
815368855,217,167
824650019,217,169
793560779,217,177
137443290,217,178
838392050,217,184
832007620,217,184
838017456,217,190
886381336,217,194
816584922,217,194
831504131,217,197
839837603,217,203
911509461,217,205
827550434,217,208
812742699,217,209
790226245,217,209
893007157,217,210
885814206,217,211
862182260,217,212
860081418,217,214
831391124,217,215
133245695,217,220
815240480,217,221
837019863,217,229
23491470,217,239
886518298,217,241
790944940,217,241
824648766,217,244
135825518,217,244
799971469,217,248
839453485,217,250
856268680,217,251
886463267,217,253
835406976,217,253
843740340,217,255
801295678,217,256
886083256,217,258
832670081,217,261
876754956,217,267
147643394,217,273
867041472,217,276
816454411,217,276
790922947,217,278
143068843,217,281
887762997,217,282
839766559,217,282
790095455,217,282
856114126,217,286
825057274,217,288
824896424,217,288
884206453,217,291
798721273,217,292
839592232,217,293
23276859,217,293
832974858,217,294
792141339,217,297
856116784,217,301
980499055,217,314
819108208,217,314
808552859,217,315
139284099,217,319
829309272,217,321
824914561,217,322
831484511,217,324
138558582,217,329
865459833,217,336
807791690,217,337
863214872,217,340
138876607,217,346
831948941,217,349
823788146,217,360
911614505,217,362
982231162,217,363
844186526,217,364
828308390,217,367
801273674,217,370
791209510,217,371
149140472,217,374
833259441,217,376
800971495,217,383
824922473,217,386
910568500,217,390
845940064,217,391
141000326,217,394
886184934,217,399
900339559,217,405
839932202,217,405
841942437,217,406
794277610,217,410
824995263,217,412
873696886,217,413
833000476,217,414
841893097,217,416
980764989,217,418
139927374,217,422
850554919,217,431
22971393,217,432
869772045,217,433
799428827,217,437
836848404,217,438
886368077,217,440
822021393,217,443
844441723,217,447
830245969,217,452
140613382,217,453
878980784,217,458
835823788,217,461
844282468,217,464
795143819,217,467
819906927,217,472
801448353,217,474
816690715,217,476
886096545,217,478
802012947,217,483
136264646,217,484
139483678,217,485
834837440,217,488
912765131,217,489
820962152,217,489
866085649,217,506
824420509,217,506
982331556,217,511
821955717,217,511
886330662,217,515
823550036,217,515
842141784,217,516
801406161,217,522
794310510,217,526
886224331,217,528
831483981,217,530
812136833,217,530
864259640,217,531
148456799,217,532
886163522,217,533
825336508,217,533
864316569,217,534
138585723,217,541
137823814,217,543
143816814,217,545
910635794,217,547
843674135,217,549
873582223,217,557
839722053,217,562
147564153,217,570
839017275,217,573
894840406,217,575
911667002,217,581
838353754,217,581
886382255,217,584
793551105,217,584
801538193,217,585
856831187,217,587
833551425,217,588
848231846,217,589
139284418,217,589
882736385,217,595
859735352,217,595
790985186,217,596
872949294,217,597
823554673,217,598
801884487,217,600
145045944,217,609
830299941,217,616
863072435,217,623
815369022,217,623
790094829,217,626
862976787,217,631
983137610,217,632
840655656,217,636
856117085,217,639
139184475,217,648
829037805,217,655
143009740,217,665
145627624,217,666
145032240,217,666
139181616,217,680
841283224,217,689
878620460,217,690
840424602,217,691
800478272,217,691
22968802,217,693
886381530,217,698
821504174,217,699
