NUMBER,EVEN,ODD
818796358,125, 60
805141302,125, 60
903123675,125, 60
135381285,124, 61
837053861,125, 60
812357748,125, 60
897230207,125, 60
861078891,125, 60
923035622,125, 60
825755804,125, 60
849766925,125, 60
898903312,125, 60
834613542,125, 60
831086749,125, 60
902185474,125, 60
923062072,125, 60
902890432,125, 60
811212464,125, 60
808859984,125, 60
139384180,124, 61
866759881,125, 60
863366504,125, 60
846405308,125, 60
853684432,125, 60
146250914,124, 61
848580711,125, 60
839283164,125, 60
895960631,125, 60
24616841,123, 62
807666386,125, 60
133680326,124, 61
886525835,125, 60
897402400,125, 60
885665472,125, 60
826734123,125, 60
867174102,125, 60
855709579,125, 60
809156695,125, 60
900998047,125, 60
811570808,125, 60
858342930,125, 60
858264043,125, 60
916044375,125, 60
138637300,124, 61
810727654,125, 60
811903978,125, 60
903560814,125, 60
807601610,125, 60
821343465,125, 60
848345541,125, 60
995575324,125, 60
812623516,125, 60
847767260,125, 60
135004799,124, 61
904331489,125, 60
915967596,125, 60
23767664,123, 62
135123767,124, 61
898145133,125, 60
134357725,124, 61
142155836,124, 61
812798959,125, 60
821009581,125, 60
824358913,125, 60
871840086,125, 60
835665966,125, 60
801595600,125, 60
144450128,124, 61
135112532,124, 61
897902970,125, 60
873420865,125, 60
836600179,125, 60
812922239,125, 60
840579018,125, 60
902404326,125, 60
826329886,125, 60
933930107,125, 60
828194502,125, 60
141135510,124, 61
840397290,125, 60
826053816,125, 60
852486912,125, 60
995647286,125, 60
134598289,124, 61
806118063,125, 60
840337880,125, 60
910527355,125, 60
910310064,125, 60
832878983,125, 60
823217352,125, 60
840678220,125, 60
832975992,125, 60
139387327,124, 61
836570503,125, 60
890427016,125, 60
142623209,124, 61
847676430,125, 60
143038606,124, 61
826869603,125, 60
851427130,125, 60
888697304,125, 60
848484234,125, 60
844401883,125, 60
906654200,125, 60
807402953,125, 60
924135922,125, 60
996724672,125, 60
915188927,125, 60
857438580,125, 60
997563522,125, 60
999451023,125, 60
897840635,125, 60
824108221,125, 60
910014401,125, 60
832717765,125, 60
133820636,124, 61
812911876,125, 60
839173006,125, 60
810138618,125, 60
869664808,125, 60
836082226,125, 60
826528446,125, 60
836218392,125, 60
994267831,125, 60
853829188,125, 60
895512501,125, 60
996233538,125, 60
994554198,125, 60
933772489,125, 60
994350414,125, 60
854073941,125, 60
23716067,123, 62
826563514,125, 60
805472805,125, 60
812871408,125, 60
902764477,125, 60
828380108,125, 60
871974533,125, 60
832223241,125, 60
871101648,125, 60
852419094,125, 60
139103295,124, 61
148654407,124, 61
803059086,125, 60
135149139,124, 61
878033583,125, 60
4030159,122, 63
834397845,125, 60
856602391,125, 60
858872166,125, 60
871101530,125, 60
804547887,125, 60
135395039,124, 61
898405414,125, 60
166318926,124, 61
896185829,125, 60
149339371,124, 61
898280061,125, 60
833448728,125, 60
881719941,125, 60
835582824,125, 60
842985012,125, 60
148683042,124, 61
881814901,125, 60
998540781,125, 60
840164921,125, 60
832625192,125, 60
871847078,125, 60
885516586,125, 60
997666818,125, 60
139009556,124, 61
834757623,125, 60
856086301,125, 60
23225871,123, 62
24441363,123, 62
849697246,125, 60
810490606,125, 60
135323814,124, 61
885749143,125, 60
898106138,125, 60
879838709,125, 60
933926206,125, 60
149512370,124, 61
807897748,125, 60
895239794,125, 60
995748804,125, 60
815993351,125, 60
902629253,125, 60
152556286,124, 61
894770951,125, 60
899603291,125, 60
836748715,125, 60
135140409,124, 61
821384894,125, 60
840333329,125, 60
140271509,124, 61
890936538,125, 60
140896500,124, 61
890518042,125, 60
148433800,124, 61
892258720,125, 60
997904000,125, 60
139766482,124, 61
823134036,125, 60
898670995,125, 60
914838511,125, 60
999099054,125, 60
894557118,125, 60
148868205,124, 61
135585489,124, 61
846351912,125, 60
846376689,125, 60
805567591,125, 60
142485111,124, 61
996613788,125, 60
994621328,125, 60
855471402,125, 60
831098163,125, 60
835023597,125, 60
830596711,125, 60
892163249,125, 60
4235772,122, 63
139348476,124, 61
834210510,125, 60
917063862,125, 60
145477978,124, 61
872961176,125, 60
145657813,124, 61
149775986,124, 61
23876367,123, 62
832846942,125, 60
900165497,125, 60
902568131,125, 60
827030915,125, 60
883491531,125, 60
827653781,125, 60
895683560,125, 60
831485148,125, 60
836843089,125, 60
848999678,125, 60
831136002,125, 60
813276981,125, 60
934141150,125, 60
901742935,125, 60
139074031,124, 61
878862848,125, 60
819481355,125, 60
856326240,125, 60
23530538,123, 62
872876895,125, 60
811926436,125, 60
851421099,125, 60
811480611,125, 60
826716321,125, 60
846358378,125, 60
903606507,125, 60
147589354,124, 61
836355480,125, 60
881866455,125, 60
147733848,124, 61
3833668,122, 63
900674925,125, 60
999286983,125, 60
134557135,124, 61
858599350,125, 60
135352421,124, 61
138539584,124, 61
829718008,125, 60
839552039,125, 60
22818201,123, 62
827898247,125, 60
902644613,125, 60
833998417,125, 60
848134810,125, 60
847255677,125, 60
143429811,124, 61
873193936,125, 60
883471644,125, 60
876016362,125, 60
151577589,124, 61
839521013,125, 60
134938054,124, 61
836198010,125, 60
804235966,125, 60
848180910,125, 60
854901169,125, 60
854844762,125, 60
808670187,125, 60
894553434,125, 60
835750650,125, 60
898047356,125, 60
996116866,125, 60
827922604,125, 60
811776162,125, 60
827193110,125, 60
855996685,125, 60
166409107,124, 61
900304954,125, 60
906624916,125, 60
874825498,125, 60
837212940,125, 60
4350099,122, 63
804611104,125, 60
902091536,125, 60
653132,121, 64
849696448,125, 60
804804066,125, 60
134521358,124, 61
826467937,125, 60
145729123,124, 61
819421974,125, 60
153897837,124, 61
996904968,125, 60
847589405,125, 60
166621388,124, 61
24735031,123, 62
841632042,125, 60
810549947,125, 60
994328753,125, 60
903268912,125, 60
832631858,125, 60
23510358,123, 62
910617525,125, 60
857532984,125, 60
139320381,124, 61
885528108,125, 60
804621228,125, 60
860990018,125, 60
836544036,125, 60
898062808,125, 60
922991690,125, 60
834613937,125, 60
835060337,125, 60
809610946,125, 60
898279981,125, 60
812633110,125, 60
915168695,125, 60
897112596,125, 60
836383653,125, 60
886508182,125, 60
871814585,125, 60
811930034,125, 60
150621272,124, 61
902620434,125, 60
872027936,125, 60
805386778,125, 60
832451201,125, 60
888029899,125, 60
910498921,125, 60
855146365,125, 60
821302829,125, 60
830307583,125, 60
883707722,125, 60
838405622,125, 60
140874201,124, 61
999437079,125, 60
135510349,124, 61
811589813,125, 60
826468703,125, 60
905842501,125, 60
882321754,125, 60
871124322,125, 60
894723265,125, 60
139323995,124, 61
829847908,125, 60
826361336,125, 60
997496345,125, 60
994185956,125, 60
909576103,125, 60
872966372,125, 60
995801833,125, 60
996604321,125, 60
838483385,125, 60
146006931,124, 61
144938800,124, 61
909904094,125, 60
878062881,125, 60
855739986,125, 60
835543704,125, 60
807708791,125, 60
883706644,125, 60
831300735,125, 60
836807351,125, 60
903735709,125, 60
906799451,125, 60
808730222,125, 60
997037008,125, 60
22376609,123, 62
892296207,125, 60
810658836,125, 60
839613234,125, 60
851467620,125, 60
867977740,125, 60
3963030,122, 63
903309711,125, 60
834365610,125, 60
801008216,125, 60
835714219,125, 60
895744241,125, 60
827747999,125, 60
801730014,125, 60
838337600,125, 60
828215075,125, 60
857499958,125, 60
4019122,122, 63
134064533,124, 61
900523543,125, 60
863174705,125, 60
907050919,125, 60
811800422,125, 60
24335546,123, 62
892147426,125, 60
828055598,125, 60
900777456,125, 60
996323601,125, 60
994564281,125, 60
834993256,125, 60
826219098,125, 60
22361257,123, 62
855421957,125, 60
826797410,125, 60
811792059,125, 60
835435784,125, 60
852910429,125, 60
874816704,125, 60
900053593,125, 60
896018102,125, 60
837196177,125, 60
821136405,125, 60
801023880,125, 60
812410035,125, 60
834904955,125, 60
995328686,125, 60
898253497,125, 60
805276966,125, 60
857969207,125, 60
810858340,125, 60
840343065,125, 60
825804295,125, 60
898901643,125, 60
893179877,125, 60
876203410,125, 60
860196722,125, 60
149700346,124, 61
829947813,125, 60
838172922,125, 60
841061615,125, 60
905379353,125, 60
844469248,125, 60
844650261,125, 60
872862815,125, 60
896324735,125, 60
4143935,122, 63
804421003,125, 60
823263135,125, 60
849772890,125, 60
802431818,125, 60
885311556,125, 60
885667712,125, 60
829912446,125, 60
892100633,125, 60
146009637,124, 61
995124377,125, 60
902265351,125, 60
808835854,125, 60
909600032,125, 60
909434683,125, 60
812480940,125, 60
825765373,125, 60
804876356,125, 60
807662128,125, 60
858217007,125, 60
819861587,125, 60
807650975,125, 60
830696676,125, 60
835023049,125, 60
871341652,125, 60
826198021,125, 60
997539173,125, 60
915650702,125, 60
846545117,125, 60
814341623,125, 60
813201417,125, 60
922988659,125, 60
915591414,125, 60
812464562,125, 60
890934873,125, 60
145474946,124, 61
858628282,125, 60
886137980,125, 60
823984611,125, 60
871150391,125, 60
802964120,125, 60
814306666,125, 60
841571234,125, 60
907802003,125, 60
853366370,125, 60
848435846,125, 60
855069521,125, 60
886161239,125, 60
997764669,125, 60
893154310,125, 60
996136264,125, 60
865097850,125, 60
848804454,125, 60
810984546,125, 60
850973908,125, 60
835313446,125, 60
870014348,125, 60
993907980,125, 60
874371844,125, 60
135310083,124, 61
827606753,125, 60
900754275,125, 60
818819662,125, 60
868534340,125, 60
832325232,125, 60
871077613,125, 60
823849468,125, 60
899024258,125, 60
894673893,125, 60
826416278,125, 60
142635010,124, 61
899583349,125, 60
811103081,125, 60
836499460,125, 60
902192108,125, 60
142260846,124, 61
897247920,125, 60
852087840,125, 60
832188173,125, 60
812607616,125, 60
135496856,124, 61
994265755,125, 60
840361347,125, 60
871235104,125, 60
804376032,125, 60
23786863,123, 62
898702164,125, 60
899259037,125, 60
863079809,125, 60
898655931,125, 60
148673172,124, 61
143232109,124, 61
808764589,125, 60
897360643,125, 60
141377752,124, 61
848941401,125, 60
156618682,124, 61
898187019,125, 60
820876567,125, 60
24074431,123, 62
882361678,125, 60
855416548,125, 60
907876100,125, 60
141185840,124, 61
812083594,125, 60
154207571,124, 61
923389458,125, 60
151594108,124, 61
826361679,125, 60
899272192,125, 60
993576194,125, 60
139216902,124, 61
143397738,124, 61
996971007,125, 60
141871570,124, 61
146226668,124, 61
849727183,125, 60
857492170,125, 60
993385034,125, 60
139362431,124, 61
902159803,125, 60
843595872,125, 60
149135679,124, 61
995716769,125, 60
826416119,125, 60
933802151,125, 60
807138749,125, 60
827403283,125, 60
140097099,124, 61
840592520,125, 60
915416020,125, 60
871490685,125, 60
834224819,125, 60
993853761,125, 60
818820448,125, 60
828965907,125, 60
899829301,125, 60
907793011,125, 60
166276155,124, 61
834830363,125, 60
813250624,125, 60
851976657,125, 60
140005461,124, 61
841220204,125, 60
994402139,125, 60
830623734,125, 60
827204887,125, 60
839495193,125, 60
934137333,125, 60
812691325,125, 60
847290595,125, 60
136836789,124, 61
135301502,124, 61
857466044,125, 60
869777645,125, 60
830122927,125, 60
887936521,125, 60
870453548,125, 60
808049267,125, 60
811287562,125, 60
848794094,125, 60
804280271,125, 60
147126281,124, 61
901971878,125, 60
996516836,125, 60
903141824,125, 60
871105904,125, 60
853678504,125, 60
141229875,124, 61
833574020,125, 60
809581834,125, 60
915561583,125, 60
823692985,125, 60
862159108,125, 60
902134372,125, 60
854669975,125, 60
902086352,125, 60
897524388,125, 60
853328022,125, 60
812830911,125, 60
826059995,125, 60
898278618,125, 60
836852951,125, 60
894558782,125, 60
818959811,125, 60
994268188,125, 60
862232173,125, 60
995672600,125, 60
833879215,125, 60
809719050,125, 60
831711917,125, 60
830762547,125, 60
815989490,125, 60
142852537,124, 61
833198555,125, 60
832674349,125, 60
842592859,125, 60
165936303,124, 61
879853866,125, 60
803090764,125, 60
845244204,125, 60
24198676,123, 62
835499224,125, 60
831043489,125, 60
915838931,125, 60
891062885,125, 60
925171543,125, 60
811056483,125, 60
923064141,125, 60
857086002,125, 60
835887619,125, 60
994798137,125, 60
808727641,125, 60
803134798,125, 60
903132291,125, 60
856571226,125, 60
881554316,125, 60
808824487,125, 60
895491981,125, 60
996116463,125, 60
134118036,124, 61
898426339,125, 60
823317394,125, 60
141398761,124, 61
830068846,125, 60
870824740,125, 60
166327398,124, 61
804762136,125, 60
828394243,125, 60
829721631,125, 60
905975173,125, 60
886511210,125, 60
999152859,125, 60
148516852,124, 61
891890740,125, 60
848523027,125, 60
828974138,125, 60
837180873,125, 60
840704785,125, 60
846338094,125, 60
899189639,125, 60
823803617,125, 60
150984606,124, 61
808472565,125, 60
902243183,125, 60
149702496,124, 61
139912240,124, 61
804673267,125, 60
820893582,125, 60
898939715,125, 60
166511026,124, 61
837682102,125, 60
855638270,125, 60
997723930,125, 60
862860703,125, 60
832736620,125, 60
821357319,125, 60
903497059,125, 60
858492263,125, 60
885627424,125, 60
892076148,125, 60
810153787,125, 60
870830688,125, 60
827888860,125, 60
22936434,123, 62
812331255,125, 60
24204310,123, 62
899858677,125, 60
811995722,125, 60
855928449,125, 60
140919669,124, 61
803028673,125, 60
882151936,125, 60
874976003,125, 60
823635046,125, 60
137864645,124, 61
910118848,125, 60
824009727,125, 60
807614104,125, 60
139253490,124, 61
836142844,125, 60
819433098,125, 60
885633108,125, 60
150135435,124, 61
811355619,125, 60
801625713,125, 60
994212782,125, 60
858121781,125, 60
898084484,125, 60
835572260,125, 60
883690045,125, 60
900059622,125, 60
827564606,125, 60
148602797,124, 61
140972885,124, 61
811602502,125, 60
139441804,124, 61
145534015,124, 61
823151015,125, 60
891099933,125, 60
812010654,125, 60
895605436,125, 60
874816819,125, 60
807588493,125, 60
852492241,125, 60
872897600,125, 60
826452913,125, 60
834913101,125, 60
849186621,125, 60
138483277,124, 61
871935373,125, 60
801737097,125, 60
165690888,124, 61
800957737,125, 60
848491119,125, 60
999245943,125, 60
150434764,124, 61
863608426,125, 60
831050421,125, 60
813245245,125, 60
823711780,125, 60
996555749,125, 60
826214706,125, 60
900221006,125, 60
3920183,122, 63
830766232,125, 60
853805785,125, 60
852270404,125, 60
839490298,125, 60
809826876,125, 60
828786412,125, 60
821196345,125, 60
847968012,125, 60
807635591,125, 60
998615025,125, 60
812835482,125, 60
831835038,125, 60
897402448,125, 60
853663836,125, 60
834792948,125, 60
835919300,125, 60
810131203,125, 60
834946822,125, 60
834853683,125, 60
857539062,125, 60
827439288,125, 60
832423245,125, 60
847309896,125, 60
811908649,125, 60
925285384,125, 60
997908313,125, 60
147497534,124, 61
139350985,124, 61
148513582,124, 61
900914001,125, 60
994213596,125, 60
902130887,125, 60
835017662,125, 60
151577929,124, 61
834803388,125, 60
819619142,125, 60
22864273,123, 62
871585003,125, 60
847675340,125, 60
811834420,125, 60
900352167,125, 60
835589365,125, 60
837245681,125, 60
812391866,125, 60
809830861,125, 60
846270016,125, 60
808292896,125, 60
912449747,125, 60
144718674,124, 61
144684909,124, 61
3733659,122, 63
139401191,124, 61
811545594,125, 60
134389142,124, 61
135067432,124, 61
811143107,125, 60
804207128,125, 60
834404665,125, 60
836634971,125, 60
898321969,125, 60
135498352,124, 61
834207039,125, 60
150460908,124, 61
24300309,123, 62
855771145,125, 60
149358263,124, 61
801506101,125, 60
890358582,125, 60
848448872,125, 60
916664423,125, 60
23979168,123, 62
143876208,124, 61
906125383,125, 60
900918092,125, 60
833156277,125, 60
885261904,125, 60
156742295,124, 61
837102701,125, 60
803787388,125, 60
140772077,124, 61
826060106,125, 60
802421785,125, 60
871245032,125, 60
142345431,124, 61
848484117,125, 60
905072247,125, 60
142028509,124, 61
904316837,125, 60
899966438,125, 60
835760501,125, 60
654995,121, 64
834887076,125, 60
897357879,125, 60
812585487,125, 60
834753685,125, 60
898858314,125, 60
805175600,125, 60
903811718,125, 60
804626202,125, 60
876111419,125, 60
139038994,124, 61
890384442,125, 60
871832976,125, 60
840234657,125, 60
846922838,125, 60
915690111,125, 60
831437740,125, 60
826156304,125, 60
875035660,125, 60
867877511,125, 60
899765878,125, 60
823289183,125, 60
996628792,125, 60
848383521,125, 60
860195136,125, 60
923327477,125, 60
850787606,125, 60
903114693,125, 60
995123096,125, 60
834419963,125, 60
810440719,125, 60
139260934,124, 61
823944488,125, 60
807596597,125, 60
807372653,125, 60
810324615,125, 60
135242661,124, 61
854652184,125, 60
165854247,124, 61
904220312,125, 60
906089611,125, 60
996866017,125, 60
865474501,125, 60
836057836,125, 60
850701866,125, 60
924134343,125, 60
923063807,125, 60
804468836,125, 60
868607509,125, 60
146334911,124, 61
877951091,125, 60
996521744,125, 60
849553440,125, 60
830776543,125, 60
834094460,125, 60
846554218,125, 60
860800928,125, 60
827700816,125, 60
923068447,125, 60
805493436,125, 60
847327461,125, 60
897320537,125, 60
136871969,124, 61
827558963,125, 60
879854066,125, 60
809860895,125, 60
877268365,125, 60
831925571,125, 60
137692587,124, 61
826308375,125, 60
835465168,125, 60
899577218,125, 60
140726965,124, 61
146224743,124, 61
834172895,125, 60
138789055,124, 61
898585463,125, 60
804303887,125, 60
833889018,125, 60
996584112,125, 60
837443056,125, 60
893190104,125, 60
995184539,125, 60
823115331,125, 60
142224166,124, 61
903314989,125, 60
996241005,125, 60
998988691,125, 60
834973495,125, 60
995500872,125, 60
885051183,125, 60
837215716,125, 60
140271375,124, 61
897686132,125, 60
139034445,124, 61
139069010,124, 61
995959972,125, 60
139364547,124, 61
899062634,125, 60
804200917,125, 60
923095763,125, 60
149676709,124, 61
812382897,125, 60
901748152,125, 60
997035105,125, 60
803008387,125, 60
805115645,125, 60
844661323,125, 60
149696821,124, 61
898388673,125, 60
804378921,125, 60
903710095,125, 60
844630877,125, 60
871580766,125, 60
148586053,124, 61
819333653,125, 60
828934606,125, 60
846749237,125, 60
897631987,125, 60
826371647,125, 60
801423360,125, 60
828039430,125, 60
837328218,125, 60
141808612,124, 61
22996011,123, 62
801747112,125, 60
833105346,125, 60
933803689,125, 60
824179193,125, 60
805123905,125, 60
925325885,125, 60
854817884,125, 60
867463826,125, 60
907012342,125, 60
866449862,125, 60
850705607,125, 60
865576288,125, 60
854966759,125, 60
832777543,125, 60
996666743,125, 60
902920529,125, 60
914777313,125, 60
807743569,125, 60
23513484,123, 62
998554987,125, 60
804490783,125, 60
914741135,125, 60
22970936,123, 62
996437543,125, 60
166604926,124, 61
885467602,125, 60
881872732,125, 60
832254615,125, 60
995126176,125, 60
837533010,125, 60
909586923,125, 60
833125868,125, 60
853466896,125, 60
803049758,125, 60
145876228,124, 61
149629518,124, 61
823794734,125, 60
829794511,125, 60
837475912,125, 60
834075009,125, 60
807462532,125, 60
806324422,125, 60
854617648,125, 60
849825522,125, 60
868297572,125, 60
804340793,125, 60
137867577,124, 61
996901223,125, 60
823590438,125, 60
818804380,125, 60
813928185,125, 60
881757327,125, 60
878885110,125, 60
862223009,125, 60
994578022,125, 60
898012880,125, 60
833244247,125, 60
147003321,124, 61
898325325,125, 60
804972502,125, 60
801979149,125, 60
829912964,125, 60
821378719,125, 60
903605971,125, 60
821291849,125, 60
902787063,125, 60
165901593,124, 61
811875491,125, 60
135252880,124, 61
901724455,125, 60
999156720,125, 60
832177279,125, 60
810001028,125, 60
862896834,125, 60
871389832,125, 60
904287674,125, 60
152592937,124, 61
897511323,125, 60
895487692,125, 60
848437127,125, 60
135239086,124, 61
134146350,124, 61
149397374,124, 61
140652092,124, 61
811929073,125, 60
22297590,123, 62
810787467,125, 60
811779838,125, 60
812614898,125, 60
923908976,125, 60
854938580,125, 60
802718425,125, 60
914780001,125, 60
831098991,125, 60
151169364,124, 61
872028100,125, 60
830120957,125, 60
905876458,125, 60
828161149,125, 60
831847687,125, 60
999464075,125, 60
24167074,123, 62
140057081,124, 61
997614868,125, 60
900226677,125, 60
808005540,125, 60
876101122,125, 60
149887056,124, 61
859103152,125, 60
897986272,125, 60
871218214,125, 60
895044834,125, 60
841131985,125, 60
994733046,125, 60
875244910,125, 60
885299269,125, 60
140746615,124, 61
855704779,125, 60
900437102,125, 60
832187365,125, 60
906639671,125, 60
842581766,125, 60
803251016,125, 60
152788984,124, 61
811424099,125, 60
828945251,125, 60
815996717,125, 60
805174401,125, 60
139443847,124, 61
925217990,125, 60
811603369,125, 60
808114565,125, 60
841097540,125, 60
830294663,125, 60
142877440,124, 61
139416962,124, 61
897477433,125, 60
834572482,125, 60
829908245,125, 60
826496732,125, 60
847953699,125, 60
867472587,125, 60
807662210,125, 60
834267300,125, 60
902683602,125, 60
803795021,125, 60
836211685,125, 60
826332901,125, 60
844421120,125, 60
903513774,125, 60
836177317,125, 60
812932196,125, 60
870130884,125, 60
156677876,124, 61
898953035,125, 60
812606634,125, 60
23521560,123, 62
821562908,125, 60
900342308,125, 60
831097590,125, 60
901023186,125, 60
840572822,125, 60
835643143,125, 60
897779874,125, 60
837204343,125, 60
138694634,124, 61
823402707,125, 60
900393544,125, 60
834206705,125, 60
830556318,125, 60
915956045,125, 60
881688992,125, 60
848293703,125, 60
835549993,125, 60
852026964,125, 60
915167613,125, 60
886065780,125, 60
841084515,125, 60
898149341,125, 60
801024228,125, 60
850080879,125, 60
811106279,125, 60
909545781,125, 60
844534362,125, 60
896148939,125, 60
820893322,125, 60
137988958,124, 61
939669482,125, 60
823843080,125, 60
834750007,125, 60
812911707,125, 60
135425857,124, 61
165945304,124, 61
886487883,125, 60
809614971,125, 60
832640557,125, 60
852361138,125, 60
807653195,125, 60
874093252,125, 60
999223924,125, 60
849860979,125, 60
910933919,125, 60
146480748,124, 61
823269614,125, 60
826717761,125, 60
834208877,125, 60
